"Titulo","Ano","Genero"
"Bodyguard",2018,"Thriller"
"Altered Carbon",2018,"Action"
"Altered Carbon",2018,"Drama"
"Altered Carbon",2018,"Sci-Fi"
"Ash vs Evil Dead",2015,"Action"
"Ash vs Evil Dead",2015,"Comedy"
"Ash vs Evil Dead",2015,"Horror"
"The Sinner",2017,"Crime"
"The Sinner",2017,"Drama"
"The Sinner",2017,"Mystery"
"The Sinner",2017,"Thriller"
"Our Planet",2019,"Documentary"
"Narcos: Mexico",2018,"Crime"
"Narcos: Mexico",2018,"Drama"
"Shadow and Bone",2021,"Action"
"Shadow and Bone",2021,"Adventure"
"Shadow and Bone",2021,"Drama"
"Shadow and Bone",2021,"Fantasy"
"Shadow and Bone",2021,"Mystery"
"Castlevania",2017,"Animation"
"Castlevania",2017,"Action"
"Castlevania",2017,"Adventure"
"Castlevania",2017,"Fantasy"
"Castlevania",2017,"Horror"
"The Kominsky Method",2018,"Comedy"
"The Kominsky Method",2018,"Drama"
"Hunter x Hunter",2011,"Animation"
"Hunter x Hunter",2011,"Action"
"Hunter x Hunter",2011,"Adventure"
"Hunter x Hunter",2011,"Comedy"
"Hunter x Hunter",2011,"Fantasy"
"Dead to Me",2019,"Comedy"
"Dead to Me",2019,"Crime"
"Dead to Me",2019,"Drama"
"The Haunting of Hill House",2018,"Drama"
"The Haunting of Hill House",2018,"Horror"
"The Haunting of Hill House",2018,"Mystery"
"The Haunting of Hill House",2018,"Thriller"
"Russian Doll",2019,"Adventure"
"Russian Doll",2019,"Comedy"
"Russian Doll",2019,"Drama"
"Russian Doll",2019,"Mystery"
"Kingdom",2019,"Action"
"Kingdom",2019,"Drama"
"Kingdom",2019,"History"
"Kingdom",2019,"Horror"
"Kingdom",2019,"Thriller"
"Neon Genesis Evangelion",1995,"Animation"
"Neon Genesis Evangelion",1995,"Action"
"Neon Genesis Evangelion",1995,"Drama"
"Neon Genesis Evangelion",1995,"Fantasy"
"Neon Genesis Evangelion",1995,"Sci-Fi"
"Neon Genesis Evangelion",1995,"Thriller"
"Naruto",2002,"Animation"
"Naruto",2002,"Action"
"Naruto",2002,"Adventure"
"Naruto",2002,"Comedy"
"Naruto",2002,"Fantasy"
"NCIS",2003,"Action"
"NCIS",2003,"Crime"
"NCIS",2003,"Drama"
"NCIS",2003,"Mystery"
"NCIS",2003,"Thriller"
"Manifest",2018,"Drama"
"Manifest",2018,"Mystery"
"Manifest",2018,"Sci-Fi"
"Manifest",2018,"Thriller"
"Halt and Catch Fire",2014,"Drama"
"Monty Python's Flying Circus",1969,"Comedy"
"After Life",2019,"Comedy"
"After Life",2019,"Drama"
"Riverdale",2017,"Crime"
"Riverdale",2017,"Drama"
"Riverdale",2017,"Mystery"
"Riverdale",2017,"Romance"
"Big Mouth",2017,"Animation"
"Big Mouth",2017,"Comedy"
"Big Mouth",2017,"Romance"
"I Think You Should Leave with Tim Robinson",2019,"Comedy"
"Derry Girls",2018,"Comedy"
"The Promised Neverland",2019,"Animation"
"The Promised Neverland",2019,"Action"
"The Promised Neverland",2019,"Adventure"
"The Promised Neverland",2019,"Drama"
"The Promised Neverland",2019,"Horror"
"The Promised Neverland",2019,"Mystery"
"The Promised Neverland",2019,"Sci-Fi"
"The Promised Neverland",2019,"Thriller"
"Lost in Space",2018,"Adventure"
"Lost in Space",2018,"Drama"
"Lost in Space",2018,"Family"
"Lost in Space",2018,"Mystery"
"Lost in Space",2018,"Sci-Fi"
"Star Trek: Deep Space Nine",1993,"Action"
"Star Trek: Deep Space Nine",1993,"Adventure"
"Star Trek: Deep Space Nine",1993,"Drama"
"Star Trek: Deep Space Nine",1993,"Sci-Fi"
"Jane the Virgin",2014,"Comedy"
"Godless",2017,"Action"
"Godless",2017,"Drama"
"Godless",2017,"Western"
"The OA",2016,"Drama"
"The OA",2016,"Fantasy"
"The OA",2016,"Mystery"
"The OA",2016,"Sci-Fi"
"DC's Legends of Tomorrow",2016,"Action"
"DC's Legends of Tomorrow",2016,"Adventure"
"DC's Legends of Tomorrow",2016,"Drama"
"DC's Legends of Tomorrow",2016,"Sci-Fi"
"Sacred Games",2018,"Action"
"Sacred Games",2018,"Crime"
"Sacred Games",2018,"Drama"
"Sacred Games",2018,"Mystery"
"Sacred Games",2018,"Thriller"
"iZombie",2015,"Comedy"
"iZombie",2015,"Crime"
"iZombie",2015,"Drama"
"iZombie",2015,"Horror"
"Longmire",2012,"Action"
"Longmire",2012,"Crime"
"Longmire",2012,"Drama"
"Longmire",2012,"Western"
"Happy Endings",2011,"Comedy"
"Happy Endings",2011,"Romance"
"Into the Badlands",2015,"Action"
"Into the Badlands",2015,"Adventure"
"Into the Badlands",2015,"Drama"
"The Originals",2013,"Drama"
"The Originals",2013,"Fantasy"
"The Originals",2013,"Horror"
"The Originals",2013,"Mystery"
"Anne with an E",2017,"Drama"
"Anne with an E",2017,"Family"
"Grace and Frankie",2015,"Comedy"
"Chilling Adventures of Sabrina",2018,"Drama"
"Chilling Adventures of Sabrina",2018,"Fantasy"
"Chilling Adventures of Sabrina",2018,"Horror"
"Chilling Adventures of Sabrina",2018,"Mystery"
"Chilling Adventures of Sabrina",2018,"Thriller"
"Queen of the South",2016,"Action"
"Queen of the South",2016,"Crime"
"Queen of the South",2016,"Drama"
"Queen of the South",2016,"Thriller"
"A Series of Unfortunate Events",2017,"Adventure"
"A Series of Unfortunate Events",2017,"Comedy"
"A Series of Unfortunate Events",2017,"Drama"
"A Series of Unfortunate Events",2017,"Family"
"A Series of Unfortunate Events",2017,"Mystery"
"Bridgerton",2020,"Drama"
"Bridgerton",2020,"Romance"
"Unorthodox",2020,"Drama"
"Stargate SG-1",1997,"Action"
"Stargate SG-1",1997,"Adventure"
"Stargate SG-1",1997,"Drama"
"Stargate SG-1",1997,"Sci-Fi"
"Outer Banks",2020,"Action"
"Outer Banks",2020,"Crime"
"Outer Banks",2020,"Drama"
"Outer Banks",2020,"Mystery"
"Outer Banks",2020,"Romance"
"Outer Banks",2020,"Thriller"
"13 Reasons Why",2017,"Drama"
"13 Reasons Why",2017,"Mystery"
"13 Reasons Why",2017,"Thriller"
"Unbreakable Kimmy Schmidt",2015,"Comedy"
