"Titulo","Ano","Genero"
"The Stand at Paxton County",2020,"Drama"
"Paradise Lost",2018,"Drama"
"Paradise Lost",2018,"Music"
"Solo",2018,"Biography"
"Solo",2018,"Drama"
"Solo",2018,"Romance"
"Solo",2018,"Sport"
"Solo",2018,"Thriller"
"The Trap",2019,"Comedy"
"The Brave",2019,"Action"
"The Brave",2019,"Crime"
"The Brave",2019,"Thriller"
"A Beautiful Life",2011,"Romance"
"Cristina",2016,"Documentary"
"Cristina",2016,"Short"
"Love or Money",2021,"Drama"
"Love or Money",2021,"Romance"
"Lionheart",2018,"Comedy"
"Invisible",2017,"Drama"
"Maska",2020,"Drama"
"Maska",2020,"Romance"
"Professor",1962,"Comedy"
"Professor",1962,"Musical"
"Professor",1962,"Romance"
"The Last Hour",2017,"History"
"Pants on Fire",2014,"Family"
"Game",2011,"Action"
"Game",2011,"Crime"
"Xico's Journey",2020,"Family"
"Xico's Journey",2020,"Fantasy"
"Metro",2016,"Action"
"Metro",2016,"Crime"
"Blood Money",2012,"Action"
"Blood Money",2012,"Crime"
"Blood Money",2012,"Thriller"
"The Larva Island Movie",2020,"Family"
"Buddies",2013,"Adventure"
"Buddies",2013,"Comedy"
"Mercenary",2016,"Sport"
"Breaking the Bank",2016,"Reality-TV"
"The Tenth Man",2016,"Comedy"
"The Tenth Man",2016,"Romance"
"Lifeline",1997,"Drama"
"The Influence",2019,"Documentary"
"Dragons: Rescue Riders: Secrets of the Songwing",2020,"Action"
"Dragons: Rescue Riders: Secrets of the Songwing",2020,"Fantasy"
"Dragons: Rescue Riders: Secrets of the Songwing",2020,"Musical"
"Loving You",1995,"Action"
"Loving You",1995,"Crime"
"Loving You",1995,"Thriller"
"Sol Levante",2020,"Animation"
"Sol Levante",2020,"Short"
"Sol Levante",2020,"Fantasy"
"Good Sam",2019,"Comedy"
"Fuga",2006,"Music"
"Fuga",2006,"Thriller"
"American Woman",2019,"Comedy"
"Therapy",2021,"Family"
"Time Out",2015,"Drama"
"Time Out",2015,"Family"
"Time Out",2015,"Music"
"A Trash Truck Christmas",2020,"Short"
"A Trash Truck Christmas",2020,"Adventure"
"A Trash Truck Christmas",2020,"Comedy"
"Dragons: Rescue Riders: Hunt for the Golden Dragon",2020,"Action"
"Dragons: Rescue Riders: Hunt for the Golden Dragon",2020,"Comedy"
"Dragons: Rescue Riders: Hunt for the Golden Dragon",2020,"Fantasy"
"Dragons: Rescue Riders: Hunt for the Golden Dragon",2020,"Mystery"
"The Last Kids on Earth: Happy Apocalypse to You",2021,"Adventure"
"The Last Kids on Earth: Happy Apocalypse to You",2021,"Horror"
"Scarecrow",2019,"Comedy"
"Scarecrow",2019,"Crime"
"Listen",2017,"Romance"
"Question Mark",2011,"Drama"
"The (Silent) War",2019,"Adventure"
"The (Silent) War",2019,"Crime"
"The (Silent) War",2019,"Thriller"
"The (Silent) War",2019,"War"
"Welcome Mr. President!",2013,"Comedy"
"Clash",2021,"Family"
"Chupan Chupai",2018,"Drama"
"Chupan Chupai",2018,"Family"
"Chupan Chupai",2018,"Musical"
"Chupan Chupai",2018,"Romance"
"Elaan",1971,"Drama"
"Elaan",1971,"Musical"
"Hometown Holiday",2018,"Drama"
"Salaakhen",1975,"Thriller"
"Dark Waters",1956,"Romance"
"This Is the Life",2008,"Documentary"
"U-Turn",2020,"Short"
"U-Turn",2020,"Family"
"Fanatyk",2017,"Short"
"Fanatyk",2017,"Comedy"
"Spirit Riding Free: Spirit of Christmas",2019,"Short"
"Spirit Riding Free: Spirit of Christmas",2019,"Action"
"Spirit Riding Free: Spirit of Christmas",2019,"Comedy"
"Alaska Is a Drag",2012,"Short"
"Alaska Is a Drag",2012,"Comedy"
"Alaska Is a Drag",2012,"Fantasy"
"Monster Island",2017,"Animation"
"Monster Island",2017,"Comedy"
"Monster Island",2017,"Family"
"Monster Island",2017,"Fantasy"
"Autumn",2010,"Horror"
"Autumn",2010,"Sci-Fi"
"Autumn",2010,"Thriller"
"The Truth About Alcohol",2016,"Documentary"
"Hospital",2020,"Horror"
"My Wife & I",2017,"Drama"
"My Wife & I",2017,"Thriller"
"The Body",2019,"Mystery"
"The Body",2019,"Thriller"
"Firebrand",2019,"Drama"
"Sylvia",2018,"Thriller"
"Islands of Faith",2020,"Music"
"Gad Gone Wild",2017,"Documentary"
"Whipped",2020,"Drama"
"Sur",2002,"Drama"
"Sur",2002,"Musical"
"Sur",2002,"Romance"
"Just in Time",2021,"Drama"
"Just in Time",2021,"Family"
"The Figurine",2009,"Horror"
"Kill Me Twice",2019,"Crime"
"King of Boys",2018,"Crime"
"Jaal",1986,"Action"
"Jaal",1986,"Drama"
"Target",2018,"Thriller"
"Disconnect",2018,"Comedy"
"Disconnect",2018,"Romance"
"Phone Swap",2012,"Comedy"
"Phone Swap",2012,"Romance"
"Growing Up",2018,"Comedy"
"Growing Up",2018,"Romance"
"Jonah",2016,"Romance"
"Jonah",2016,"Thriller"
"Singapore",1960,"Thriller"
"Buddy Thunderstruck: The Maybe Pile",2017,"Sport"
"Berlin Berlin",2020,"Short"
"Berlin Berlin",2020,"Musical"
"Joker",2012,"Comedy"
"Joker",2012,"Family"
"Joker",2012,"Sci-Fi"
"Jada",2019,"Sport"
"Red Snow",2019,"Drama"
"Right Here Right Now",2018,"Drama"
"Right Here Right Now",2018,"Music"
"Splatter",2015,"Short"
"Splatter",2015,"Drama"
"The Wishing Tree",2017,"Short"
"The Wishing Tree",2017,"Comedy"
"Uncovered",2019,"Action"
"Imago",2018,"Drama"
"Weapon of Choice",2018,"Documentary"
"PhotoCopy",2016,"Romance"
"90 ML",2019,"Action"
"90 ML",2019,"Drama"
"90 ML",2019,"Romance"
"Faraar",2015,"Action"
"Zero Hour",2019,"Animation"
"Zero Hour",2019,"Short"
"Zero Hour",2019,"Action"
"Zero Hour",2019,"Sci-Fi"
"Mokalik (Mechanic)",2019,"Drama"
"The Set Up",2019,"Drama"
"Dark Forces",2020,"Action"
"Mercy",2016,"Mystery"
"Mercy",2016,"Thriller"
"The CEO",2016,"Drama"
"The CEO",2016,"Thriller"
"In My Country",2017,"Action"
"Wives on Strike",2016,"Comedy"
"Uqdat el-Khawagah",2018,"Drama"
"Fronteras",2020,"Short"
"Beyond the Boundary: ICC Women's T20 World Cup Australia 2020",2020,"Documentary"
"Beyond the Boundary: ICC Women's T20 World Cup Australia 2020",2020,"Sport"
"5Gang: A Different Kind of Christmas",2019,"Musical"
"Into the Wind",2018,"Drama"
"Super Monsters and the Wish Star",2018,"Adventure"
"Super Monsters and the Wish Star",2018,"Horror"
"Super Monsters and the Wish Star",2018,"Musical"
"Lagos Real Fake Life",2018,"Comedy"
"Imperfect",2012,"Action"
"Imperfect",2012,"Crime"
"The Island",2018,"Comedy"
"The Island",2018,"Drama"
"Freej Al Taibeen",2018,"Sport"
"The Ghost and the Tout",2018,"Fantasy"
"Crazy People",2018,"Thriller"
"Hattrick",2007,"Comedy"
"Hattrick",2007,"Romance"
"Hattrick",2007,"Sport"
"The Last Mercenary",2021,"Adventure"
"D.O.D.: Day of Destiny",2021,"Drama"
"D.O.D.: Day of Destiny",2021,"Sci-Fi"
"Once In A Lifetime Sessions with Nile Rodgers",2018,"Documentary"
"Once in a Lifetime Sessions with OneRepublic",2018,"Documentary"
"Once in a Lifetime Sessions with Kasabian",2018,"Documentary"
"Cop Watchers",2016,"Short"
"Cop Watchers",2016,"Mystery"
"The Vendor",2018,"Comedy"
"Shrek",2001,"Romance"
"(500) Days of Summer",2009,"Talk-Show"
"Predator",1987,"Thriller"
"Collective",2020,"Crime"
"Space Jam",1996,"Fantasy"
"Crime + Punishment",2018,"Documentary"
"Logan Lucky",2017,"Action"
"Vice",2018,"Biography"
"Vice",2018,"Drama"
"Terminator: Dark Fate",2019,"Thriller"
"The Way Back",2010,"Adventure"
"The Way Back",2010,"History"
"The A-Team",2010,"Thriller"
"The Upside",2019,"News"
"Sorry to Bother You",2018,"Drama"
"Storks",2016,"Drama"
"Abominable",2019,"Drama"
"Breach",2007,"Biography"
"Breach",2007,"Crime"
"Breach",2007,"Drama"
"Breach",2007,"History"
"Breach",2007,"Thriller"
"Saint Maud",2019,"Thriller"
"Bloody Sunday",2002,"History"
"Bloody Sunday",2002,"War"
"Colossal",2017,"Action"
"Colossal",2017,"Adventure"
"Colossal",2017,"Horror"
"Colossal",2017,"Thriller"
"Sputnik",2020,"Drama"
"Sputnik",2020,"Horror"
"Sputnik",2020,"Mystery"
"Sputnik",2020,"Thriller"
"El Dorado",1966,"Drama"
"El Dorado",1966,"Western"
"Trolls World Tour",2020,"Romance"
"Pet Sematary",2019,"Mystery"
"Sinbad: Legend of the Seven Seas",2003,"Comedy"
"Dora and the Lost City of Gold",2019,"Action"
"Dora and the Lost City of Gold",2019,"Fantasy"
"Dora and the Lost City of Gold",2019,"Thriller"
"The Addams Family",2019,"Animation"
"The Addams Family",2019,"Adventure"
"The Addams Family",2019,"Fantasy"
"Rules of Engagement",2000,"Drama"
"Rules of Engagement",2000,"Thriller"
"Rules of Engagement",2000,"War"
"Child's Play",2019,"Drama"
"Child's Play",2019,"Sci-Fi"
"Ammonite",2020,"History"
"Spare Parts",2015,"Biography"
"Spare Parts",2015,"Drama"
"Spare Parts",2015,"History"
"Pietà",2012,"Short"
"Charlotte's Web",1973,"Animation"
"Charlotte's Web",1973,"Drama"
"Charlotte's Web",1973,"Musical"
"The Last House on the Left",1972,"Crime"
"How to Train Your Dragon: Homecoming",2019,"Short"
"How to Train Your Dragon: Homecoming",2019,"Comedy"
"The Colony",2013,"Action"
"Ri¢hie Ri¢h",1994,"News"
"We Are Freestyle Love Supreme",2020,"Comedy"
"We Are Freestyle Love Supreme",2020,"Musical"
"Amazing Grace",2018,"Documentary"
"Amazing Grace",2018,"Music"
"Reno 911!: Miami",2007,"Documentary"
"Terminal",2018,"Crime"
"Terminal",2018,"Thriller"
"Walking Tall",1973,"Biography"
"Walking Tall",1973,"Drama"
"Walking Tall",1973,"Thriller"
"Tooth Fairy",2010,"Comedy"
"Tooth Fairy",2010,"Family"
"Tooth Fairy",2010,"Sport"
"The Assassin",2015,"History"
"Cowboys",2020,"Drama"
"The Courier",2019,"Drama"
"The Courier",2019,"History"
"The Courier",2019,"War"
"Dismissed",2017,"Horror"
"The Cave",2019,"Drama"
"The Hunchback of Notre Dame",1923,"Horror"
"The Secret Garden",2020,"Mystery"
"Grand Isle",2019,"Action"
"The Furies",1950,"Drama"
"The Furies",1950,"Romance"
"The Furies",1950,"Western"
"Bad Company",1972,"Adventure"
"Bad Company",1972,"Drama"
"Bad Company",1972,"Western"
"Overdrive",2017,"Adventure"
"Overdrive",2017,"Crime"
"Overdrive",2017,"Thriller"
"Maze",2017,"Crime"
"Maze",2017,"Drama"
"Maze",2017,"History"
"Bull",2020,"Thriller"
"The Fight",2020,"Documentary"
"WolfCop",2014,"Family"
"WolfCop",2014,"Fantasy"
"WolfCop",2014,"Thriller"
"The Sweet Life",2017,"Romance"
