Titulo,Ano,Ator
Violetta,2012,Alfredo Allende
Violetta,2012,Rodrigo Pedreira
The Lion King's Timon & Pumbaa,1995,Ernie Sabella
The Lion King's Timon & Pumbaa,1995,Kevin Schon
The Lion King's Timon & Pumbaa,1995,Jim Cummings
The Lion King's Timon & Pumbaa,1995,Jeff Bennett
The Lion King's Timon & Pumbaa,1995,Quinton Flynn
The Lion King's Timon & Pumbaa,1995,Corey Burton
The Lion King's Timon & Pumbaa,1995,Rob Paulsen
The Lion King's Timon & Pumbaa,1995,Frank Welker
The Lion King's Timon & Pumbaa,1995,Tress MacNeille
The Lion King's Timon & Pumbaa,1995,Robert Guillaume
The Lion King's Timon & Pumbaa,1995,Nathan Lane
The Lion King's Timon & Pumbaa,1995,Charlie Adler
The Lion King's Timon & Pumbaa,1995,April Winchell
The Lion King's Timon & Pumbaa,1995,Townsend Coleman
The Lion King's Timon & Pumbaa,1995,Brian Cummings
Phil of the Future,2004,Raviv Ullman
Phil of the Future,2004,Amy Bruckner
Phil of the Future,2004,Craig Anton
Phil of the Future,2004,Lise Simms
Phil of the Future,2004,Aly Michalka
Phil of the Future,2004,J.P. Manoux
Phil of the Future,2004,Kay Panabaker
Phil of the Future,2004,Brandon Mychal Smith
Phil of the Future,2004,Brenda Song
Phil of the Future,2004,Michael Mitchell
Phil of the Future,2004,Spencer Locke
Phil of the Future,2004,Evan Peters
Phil of the Future,2004,Joel Brooks
Phil of the Future,2004,Rory Thost
Phil of the Future,2004,Carlie Westerman
Little Einsteins,2005,David Jason
Little Einsteins,2005,Aiden Pompey
Little Einsteins,2005,Jesse Schwartz
Little Einsteins,2005,Natalia Wojcik
Little Einsteins,2005,Erica Huang
Little Einsteins,2005,Poppy Lee Friar
Little Einsteins,2005,Piers Stubbs
Little Einsteins,2005,Harrison Chad
Little Einsteins,2005,Jesse Goldberg
Little Einsteins,2005,Emma Straus
Little Einsteins,2005,Philip Trencher
Little Einsteins,2005,Trenton Rogers
Little Einsteins,2005,Heidi Ewart
Little Einsteins,2005,Frances Encell
Little Einsteins,2005,Mitchell Zhangazha
Shake It Up,2010,Bella Thorne
Shake It Up,2010,Zendaya
Shake It Up,2010,Davis Cleveland
Shake It Up,2010,Roshon Fegan
Shake It Up,2010,Adam Irigoyen
Shake It Up,2010,Caroline Sunshine
Shake It Up,2010,Kenton Duty
Shake It Up,2010,R. Brandon Johnson
Shake It Up,2010,Anita Barone
Shake It Up,2010,Ainsley Bailey
Shake It Up,2010,Christina Grady
Shake It Up,2010,Buddy Handleson
Shake It Up,2010,Leo Howard
Shake It Up,2010,Carla Renata
Shake It Up,2010,Duncan Tran
Hercules,1998,Tate Donovan
Hercules,1998,Josh Keaton
Hercules,1998,Roger Bart
Hercules,1998,Danny DeVito
Hercules,1998,James Woods
Hercules,1998,Susan Egan
Hercules,1998,Bobcat Goldthwait
Hercules,1998,Matt Frewer
Hercules,1998,Rip Torn
Hercules,1998,Samantha Eggar
Hercules,1998,Barbara Barrie
Hercules,1998,Hal Holbrook
Hercules,1998,Paul Shaffer
Hercules,1998,Amanda Plummer
Hercules,1998,Carole Shelley
Marvel's Guardians of the Galaxy,2015,Kevin Michael Richardson
Marvel's Guardians of the Galaxy,2015,Vanessa Marshall
Marvel's Guardians of the Galaxy,2015,David Sobolov
Marvel's Guardians of the Galaxy,2015,Will Friedle
Marvel's Guardians of the Galaxy,2015,Trevor Devall
Marvel's Guardians of the Galaxy,2015,James Arnold Taylor
Marvel's Guardians of the Galaxy,2015,Isaac C. Singleton Jr.
Marvel's Guardians of the Galaxy,2015,Cree Summer
Marvel's Guardians of the Galaxy,2015,Jonathan Frakes
Marvel's Guardians of the Galaxy,2015,Tara Strong
Marvel's Guardians of the Galaxy,2015,Troy Baker
Marvel's Guardians of the Galaxy,2015,Travis Willingham
Marvel's Guardians of the Galaxy,2015,Jeff Bennett
Marvel's Guardians of the Galaxy,2015,Logan Miller
Marvel's Guardians of the Galaxy,2015,Fred Tatasciore
Smart Guy,1997,Tahj Mowry
Smart Guy,1997,John Marshall Jones
Smart Guy,1997,Jason Weaver
Smart Guy,1997,Omar Gooding
Smart Guy,1997,Essence Atkins
Smart Guy,1997,J.D. Walsh
Smart Guy,1997,Jim Ward
Smart Guy,1997,Dann Florek
Smart Guy,1997,Arvie Lowe Jr.
Smart Guy,1997,Tinsley Grimes
Smart Guy,1997,Sebastian Tillinger
Smart Guy,1997,Kyla Pratt
Smart Guy,1997,Taraji P. Henson
Smart Guy,1997,Venus DeMilo Thomas
Smart Guy,1997,Seth St. Laurent
American Dragon: Jake Long,2005,Dante Basco
American Dragon: Jake Long,2005,Rob Tinkler
American Dragon: Jake Long,2005,Jacqueline Pillon
American Dragon: Jake Long,2005,Peter Oldring
American Dragon: Jake Long,2005,Lisa Ng
American Dragon: Jake Long,2005,Richard Binsley
American Dragon: Jake Long,2005,Denise Oliver
American Dragon: Jake Long,2005,Ron Rubin
American Dragon: Jake Long,2005,Novie Edwards
American Dragon: Jake Long,2005,Charlie Finn
American Dragon: Jake Long,2005,kittie KaBoom
American Dragon: Jake Long,2005,Keone Young
American Dragon: Jake Long,2005,John DiMaggio
American Dragon: Jake Long,2005,Jeff Bennett
American Dragon: Jake Long,2005,Amy Bruckner
Encore!,2019,Kristen Bell
Encore!,2019,Matt Fowler
Encore!,2019,Adam Wachter
Encore!,2019,Coy Middlebrook
Encore!,2019,Ameenah Kaplan
Encore!,2019,Michael Starr
Encore!,2019,Candace J. Washington
Encore!,2019,Susan Egan
Encore!,2019,Ali Stroker
Encore!,2019,Jeffrey Landman
Encore!,2019,Jenna Lea Rosen
Encore!,2019,John Jeffrey Martin
Encore!,2019,James Olivas
Encore!,2019,Jake Hart
Encore!,2019,Brandon Ocasio
Mickey Mouse,2013,Chris Diamantopoulos
Mickey Mouse,2013,Russi Taylor
Mickey Mouse,2013,Bill Farmer
Mickey Mouse,2013,Tony Anselmo
Mickey Mouse,2013,Paul Rudish
Mickey Mouse,2013,Tress MacNeille
Mickey Mouse,2013,Jim Cummings
Mickey Mouse,2013,David Wasson
Mickey Mouse,2013,Corey Burton
Mickey Mouse,2013,Aaron Springer
Mickey Mouse,2013,Illya Owens
Mickey Mouse,2013,Fred Tatasciore
Mickey Mouse,2013,John Kassir
Mickey Mouse,2013,April Winchell
