Titulo,Ano,Duracao,Temporadas,Plataforma,Classificacao Indicativa,IMDb,Rotten Tomatoes,Enredo
Marvel's Agents of S.H.I.E.L.D.,2013,,7 Seasons,Netflix,16+,7.5/10,86/100,"Agent Phil Coulson, seen in action in Marvel's The Avengers, assembles a team of top S.H.I.E.L.D. agents to investigate bizarre threats."
Never Have I Ever,2020,,2 Seasons,Netflix,16+,7.9/10,86/100,"After a traumatic year, all an Indian-American teen wants is to go from pariah to popular — but friends, family and feelings won’t make it easy on her."
The 100,2014,,7 Seasons,Netflix,16+,7.6/10,86/100,"A century after Earth was devastated by a nuclear apocalypse, 100 space station residents are sent to the planet to determine whether it's habitable."
American Crime Story,2016,,,Outra,18+,8.4/10,85/100,
The Last Kingdom,2015,,4 Seasons,Netflix,18+,8.4/10,85/100,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred – born a Saxon but raised by Vikings – seeks to claim his ancestral birthright."
The End of the F***ing World,2017,,2 Seasons,Netflix,18+,8.1/10,85/100,A budding teen psychopath and a rebel hungry for adventure embark on a star-crossed road trip in this darkly comic series based on a graphic novel.
New Girl,2011,,7 Seasons,Netflix,16+,7.7/10,85/100,"Still rebounding from a breakup, Jessica Day moves in with three single guys, all of whom are ready to help her understand the ways of the world."
Penny Dreadful,2014,,3 Seasons,Netflix,18+,8.2/10,85/100,"The classic tales of Dracula, Frankenstein, Dorian Gray and more are woven together in this horror series set on the dark streets of Victorian London."
One Piece,1999,,,Outra,7+,8.8/10,85/100,
Marvel's The Punisher,2017,,2 Seasons,Netflix,18+,8.5/10,85/100,A former Marine out to punish the criminals responsible for his family's murder finds himself ensnared in a military conspiracy.
Evil,2019,,1 Season,Netflix,18+,7.7/10,85/100,A forensic psychologist partners with a Catholic priest-in-training to investigate miracles and demonic possession in this supernatural drama.
YOU,2018,,,Outra,18+,7.7/10,85/100,
Sense8,2015,,2 Seasons,Netflix,18+,8.3/10,84/100,"From the creators of ""The Matrix"" and ""Babylon 5"" comes this tense series in which eight people can telepathically experience each other's lives."
