Titulo,Ano,Duracao,Temporadas,Plataforma,Classificacao Indicativa,IMDb,Rotten Tomatoes,Enredo
Signal,2016,,1 Season,Netflix,,8.6/10,64/100,"Communicating via a walkie-talkie that transcends time, a profiler from 2015 and a detective from 1989 join forces to tackle crimes and injustice."
H2O: Just Add Water,2006,,3 Seasons,Netflix,all,7.2/10,64/100,The gals in this fantasy series cope with the burden of growing a giant fin and transforming into mermaids whenever they come in contact with water.
Requiem,2018,,1 Season,Netflix,18+,6.5/10,64/100,"In the wake of a sudden tragedy, a London cellist unearths secrets that link her mother to the disappearance of a young girl in a small Welsh town."
The Valhalla Murders,2019,,1 Season,Netflix,18+,7.1/10,64/100,An Oslo detective with a painful past returns to his native Iceland to help a dedicated cop hunt a serial killer with a link to a mysterious photo.
Cardcaptor Sakura,1998,,2 Seasons,Netflix,7+,8.0/10,64/100,"After a young girl breaks the seal of a magical book, releasing the spirits of the cards inside, she must become a ""Cardcaptor"" and retrieve them."
Black Earth Rising,2018,,1 Season,Netflix,16+,7.5/10,64/100,"Adopted by a human rights attorney after the Rwandan genocide, legal investigator Kate Ashby confronts her past when she takes on war crimes cases."
W/ Bob & David,2015,,1 Season,Netflix,18+,7.4/10,64/100,"After being dishonorably discharged from the Navy Seals, Bob and David are back serving our country the way they do best – making sketch comedy."
The Trials of Gabriel Fernandez,2020,,1 Season,Netflix,18+,8.1/10,64/100,A boy’s brutal murder and the public trials of his guardians and social workers prompt questions about the system’s protection of vulnerable children.
She's Gotta Have It,2017,,2 Seasons,Netflix,18+,6.8/10,64/100,Nola Darling struggles to stay true to herself and her dreams while juggling three lovers in this Spike Lee series based on his breakout film.
Save Me,2018,,1 Season,Netflix,16+,7.7/10,64/100,Four young men come to the rescue of a former classmate whose family has been sucked into the clutches of a religious cult and its charismatic leader.
Giri/Haji,2019,,,Outra,,7.9/10,64/100,
The Curse of Oak Island,2014,,1 Season,Netflix,7+,7.0/10,64/100,"On an ominous island off of Nova Scotia, two brothers chase historical theories on a quest for enigmatic treasure."
Black,2017,,137 min,Netflix,16+,8.0/10,63/100,"A small-town man takes on a dangerous gangster to avenge his father, a police officer who ended his own life after being framed in a deadly crime."
Losers,2019,,1 Season,Netflix,,7.7/10,63/100,"In a ""winning is everything"" society, how do we handle failure? This series profiles athletes who have turned the agony of defeat into human triumph."
Ajin,2016,,,Outra,18+,7.6/10,63/100,
Ink Master,2012,,2 Seasons,Netflix,16+,7.4/10,63/100,"Ten of the country's most skilled tattoo artists compete for $100,000 and the title of Ink Master in this high-stakes elimination competition."
The Innocents,2018,,1 Season,Netflix,,6.3/10,63/100,Runaway teen lovers June and Harry find themselves swept up in a dangerous and confusing new world when June begins to display mysterious abilities.
Goosebumps,1995,,5 Seasons,Netflix,all,7.7/10,63/100,R.L. Stine's tales take on a life of their own in a series that combines original stories with adaptations drawn from the popular books.
Vampire Knight,2008,,2 Seasons,Netflix,16+,7.4/10,63/100,"At Cross Academy, two student disciplinary committee members are tasked with keeping the peace between a human class and a night class of vampires."
Angel Beats!,2010,,1 Season,Netflix,16+,7.7/10,63/100,"In a high school that's a way station to the afterlife, a teenager gets caught up in the battle for the rights of those in this purgatorial world."
Green Eggs and Ham,2019,,1 Season,Netflix,7+,8.2/10,63/100,"On a road trip to save an endangered animal, polar opposites Guy and Sam learn to try new things like friendship – and a certain delectable dish."
The Hollow,2018,,2 Seasons,Netflix,7+,7.2/10,63/100,"Three teens join forces to find a way home after waking up in a strange realm filled with magic portals, perplexing puzzles and vicious beasts."
Dogs,2018,,2 Seasons,Netflix,all,8.1/10,63/100,"These six intimate stories explore the abiding emotional bonds that form between dogs and their caregivers, no matter the circumstances."
November 13: Attack on Paris,2018,,1 Season,Netflix,18+,8.3/10,63/100,"Survivors and first responders share personal stories of anguish, kindness and bravery that unfolded amid the Paris terror attacks of Nov. 13, 2015."
It's Bruno!,2019,,1 Season,Netflix,7+,7.5/10,63/100,"An old-school Brooklyn native devotes his days to caring for his adorable dog, Bruno – and making sure the neighbors show his pooch the proper respect."
Wanted,2016,,90 min,Netflix,16+,7.7/10,63/100,Four seniors embark on misadventures after breaking out of their nursing home to save a loved one’s grave from demolition by estate developers.
Masum,2017,,,Outra,16+,8.4/10,63/100,
Cable Girls,2017,,6 Seasons,Netflix,18+,7.6/10,63/100,"In 1920s Madrid, four women at the National Telephone Company ring in revolution as they manage romance, friendship and the modern workplace."
Lady Dynamite,2016,,2 Seasons,Netflix,16+,7.4/10,63/100,Comedian Maria Bamford stars in a series inspired by her own life. It's the sometimes surreal story of a woman who loses – and then finds – her s**t.
Power Rangers,1993,,,Outra,7+,6.5/10,63/100,
The Mire,2018,,2 Seasons,Netflix,18+,6.9/10,63/100,"In an early-'80s Polish town, a prostitute and a youth leader are found killed, but the police's handling of the case makes two journalists suspicious."
Tabula Rasa,2017,,1 Season,Netflix,18+,8.0/10,63/100,"When a young woman with amnesia becomes a key figure in a missing persons case, she must reconstruct her memories to clear her name."
Ethos,2020,,1 Season,Netflix,,8.6/10,63/100,A group of individuals in Istanbul transcend sociocultural boundaries and find connection as their fears and wishes intertwine.
Clannad,2007,,,Outra,7+,7.9/10,63/100,
Ugly Delicious,2018,,2 Seasons,Netflix,18+,7.8/10,63/100,"All the flavor. None of the BS. Star chef David Chang leads friends on a mouthwatering, cross-cultural hunt for the world's most satisfying grub."
Generation 56k,2021,,1 Season,Netflix,,7.4/10,63/100,"A chance encounter leads two 30-somethings to remember 1998, the year their teenage hormones kicked in — and the internet changed their lives forever."
Fate/stay night [Unlimited Blade Works],2014,,,Outra,18+,8.0/10,63/100,
Man with a Plan,2016,,4 Seasons,Netflix,7+,7.0/10,63/100,"When his wife Andi returns to work, contractor Adam Burns becomes a stay-at-home dad and discovers that parenting is a tougher job than he realized."
Rilakkuma and Kaoru,2019,,1 Season,Netflix,7+,8.3/10,63/100,"Her life might be a little mundane, but Kaoru gets to go home to Rilakkuma, her endearingly lazy roommate who happens to be a fuzzy toy bear."
World War II In HD Colour,2009,,,Outra,7+,8.7/10,63/100,
Boys Over Flowers,2009,,1 Season,Netflix,16+,7.9/10,63/100,Unassuming high school girl Jan-di stands up to – and eventually falls for – a spoiled rich kid who belongs to the school's most powerful clique.
Meteor Garden,2018,,1 Season,Netflix,16+,8.1/10,63/100,"Dong Shancai is determined to excel at her dream university, where she encounters an elite clique of dashing, popular high-achievers – and finds love."
"What's New, Scooby-Doo?",2002,,,Outra,7+,7.3/10,63/100,
The Letdown,2017,,2 Seasons,Netflix,,7.5/10,63/100,"Audrey, mother of a 2-month-old, joins a new-parents support group, where she makes some quirky friends facing various challenges and life changes."
Sick Note,2017,,2 Seasons,Netflix,18+,6.8/10,63/100,"After slacker Daniel Glass is misdiagnosed with cancer, his lies lead him into an absurd web of fraud, blackmail, suspicion and misadventure."
Big Time Rush,2009,,4 Seasons,Netflix,all,6.4/10,63/100,"After a talent agent discovers four talented pals and turns them into a boy band called Big Time Rush, they must adjust to their exciting new lives."
Girlboss,2017,,1 Season,Netflix,18+,7.0/10,63/100,"Rebellious and broke, Sophia stumbles into creating an online business and learns how to be the boss. A comedy inspired by the best-selling memoir."
Quicksand,2019,,1 Season,Netflix,18+,7.5/10,63/100,"After a tragedy at a school sends shock waves through a wealthy Stockholm suburb, a seemingly well-adjusted teen finds herself on trial for murder."
Rotten,2018,,2 Seasons,Netflix,18+,7.2/10,63/100,This docuseries travels deep into the heart of the food supply chain to reveal unsavory truths and expose hidden forces that shape what we eat.
The Irregulars,2021,,1 Season,Netflix,18+,5.9/10,63/100,"A crew of misfits investigates a series of supernatural crimes in Victorian London for Dr. Watson and his shadowy associate, Sherlock Holmes."
The Mantis,2017,,,Outra,,7.4/10,63/100,
College Romance,2018,,1 Season,Netflix,18+,8.8/10,63/100,"Three best friends look for love, laughs and some lifelong memories while attending college together."
Elite Short Stories: Carla Samuel,2021,,1 Season,Netflix,18+,7.0/10,63/100,"Samuel attempts a big, romantic gesture at the airport in order to persuade Carla not to board her flight to London."
Bard of Blood,2019,,1 Season,Netflix,18+,6.9/10,63/100,"Years after a disastrous job in Balochistan, a former Indian spy must confront his past when he returns to lead an unsanctioned hostage-rescue mission."
Charmed,2018,,3 Seasons,Netflix,16+,4.6/10,62/100,"After their mother’s tragic death, a trio of sisters bond over their newfound powers, vanquish demons and band together to defend their magical legacy."
The New Legends of Monkey,2018,,2 Seasons,Netflix,7+,6.5/10,62/100,A valiant girl liberates the Monkey King – a god long trapped in stone – in a quest to find seven sacred scrolls and save the world from evil.
Nevertheless,2021,,,Outra,,7.6/10,62/100,
"The Mind, Explained",2019,,1 Season,Netflix,16+,8.0/10,62/100,"Ever wonder what's happening inside your head? From dreaming to anxiety disorders, discover how your brain works with this illuminating series."
Fast & Furious Spy Racers,2019,,5 Seasons,Netflix,7+,5.5/10,62/100,A government agency recruits teen driver Tony Toretto and his thrill-seeking friends to infiltrate a criminal street racing circuit as undercover spies.
Itaewon Class,2020,,1 Season,Netflix,,8.2/10,62/100,"In a colorful Seoul neighborhood, an ex-con and his friends fight a mighty foe to make their ambitious dreams for their street bar a reality."
Occupied,2015,,3 Seasons,Netflix,16+,7.7/10,62/100,"In the near future, Russia initiates a ""silk glove"" invasion of Norway to restart oil production, but soon uncertainty, chaos and danger erupt."
The Magic School Bus,1994,,1 Season,Netflix,all,7.8/10,62/100,"Join Ms. Frizzle as the Magic School Bus travels to outer space, under the sea, through an anthill – and even inside the human body!"
Toast of London,2013,,3 Seasons,Netflix,16+,8.2/10,62/100,"After a divorce and fatal career move, a classically trained British stage actor navigates single life with his odd roommate and takes on horrid jobs."
Patriot Act with Hasan Minhaj,2018,,6 Seasons,Netflix,18+,8.3/10,62/100,"Every Sunday, Hasan Minhaj brings an incisive and nuanced perspective to global news, politics and culture in his unique comedy series."
Greatest Events of World War II in Colour,2019,,,Outra,16+,8.7/10,62/100,
Offspring,2010,,7 Seasons,Netflix,16+,8.3/10,62/100,"A Melbourne obstetrician in her thirties struggles with the increasingly chaotic family, romantic and professional aspects of her life in this drama."
Blown Away,2019,,2 Seasons,Netflix,7+,7.1/10,62/100,"Ten master artists turn up the heat in glassblowing sculpture challenges for the chance to win $60,000 in prizes and the title of champion."
60 Days In,2016,,1 Season,Netflix,16+,7.7/10,62/100,"Recruited by a sheriff, volunteers infiltrate county prisons to expose corruption and crime from within the system in this docuseries."
Trese,2021,,1 Season,Netflix,18+,7.1/10,62/100,"In Manila, where dark supernatural forces pervade the criminal underworld, it’s up to Alexandra Trese to keep the peace — but there’s a storm brewing."
Move to Heaven,2021,,1 Season,Netflix,,8.7/10,62/100,"Finding life in all that’s left behind, a detail-oriented trauma cleaner and his estranged uncle deliver untold stories of the departed to loved ones."
Hot Girls Wanted: Turned On,2017,,1 Season,Netflix,18+,6.6/10,62/100,"Personal stories reveal how the intersection of sex, technology and intimate relationships is rewiring us in fundamental ways."
The Heirs,2013,,,Outra,16+,7.5/10,62/100,
The Curious Creations of Christine McConnell,2018,,1 Season,Netflix,7+,7.8/10,62/100,"Wickedly talented baker and artist Christine McConnell fills her home with haunting confections, creepy crafts – and wildly inappropriate creatures."
Alexa & Katie,2018,,4 Seasons,Netflix,all,7.5/10,62/100,"Alexa is battling cancer. But with her best friend, Katie, by her side, she's also starting high school – and ready for whatever comes next."
Sailor Moon Crystal,2014,,3 Seasons,Netflix,16+,8.0/10,62/100,"Middle schooler Usagi Tsukino and her friends learn that they have the power to transform into Sailor Guardians, protecting the world from darkness."
Blood of Zeus,2020,,1 Season,Netflix,,7.5/10,62/100,"A commoner living in ancient Greece, Heron discovers his true heritage as a son of Zeus, and his purpose: to save the world from a demonic army."
La Reina del Sur,2011,,2 Seasons,Netflix,18+,8.0/10,62/100,"This compelling show tells the story of the legendary Teresa Mendoza, a courageous woman who is perceived as conquering the world of drug trafficking."
Barbarians,2020,,1 Season,Netflix,,7.2/10,62/100,"Torn between the mighty empire that raised him and his own tribal people, a Roman officer's conflicted allegiances lead to an epic historical clash."
Pine Gap,2018,,1 Season,Netflix,16+,7.2/10,62/100,"At top-secret U.S.-Australian joint defense facility Pine Gap, fissures appear in the critical alliance as spies work with, and against, each other."
To the Lake,2019,,1 Season,Netflix,,7.3/10,62/100,"Facing the end of civilization when a terrifying plague strikes, a group risks their lives, loves — and humanity — in a brutal struggle to survive."
Suburra: Blood on Rome,2017,,3 Seasons,Netflix,18+,7.9/10,62/100,"In 2008, a fight over land in a seaside town near Rome spirals into a deadly battle between organized crime, corrupt politicians and the Vatican."
Taco Chronicles,2019,,2 Seasons,Netflix,18+,7.9/10,62/100,"Many of the most popular taco styles have long, rich, little-known histories. Explore some of them in this eye-opening, mouth-watering food adventure."
She,2020,,1 Season,Netflix,18+,6.5/10,62/100,An undercover assignment to expose a drug ring becomes a timid Mumbai constable’s road to empowerment as she realizes her dormant sexuality's potential.
Between,2015,,2 Seasons,Netflix,16+,6.0/10,62/100,"After a mysterious disease kills every resident over 22 years old, survivors of a town must fend for themselves when the government quarantines them."
Velvet,2014,,4 Seasons,Netflix,16+,8.1/10,62/100,"In 1950s Spain, the heir to a fashion house romances a beautiful seamstress who works for the company, despite the objections of his family."
Bobby Kennedy for President,2018,,1 Season,Netflix,16+,8.2/10,62/100,"Historic footage and leading voices of the era examine the ""Bobby Phenomenon"" of the 1960s and the legacy of the man who helped redefine the country."
Durarara!!,2010,,1 Season,Netflix,16+,7.9/10,62/100,"A young man looking for excitement moves to Ikebukuro, a district in Tokyo, where he finds a world of mystery in which the past and present mesh."
Yu-Gi-Oh!,1998,,1 Season,Netflix,,7.9/10,62/100,"The lives of young Yugi Moto and his friends Joey, Tristan, and Téa are forever changed when a fantasy card game becomes their reality."
Hostages,2013,,91 min,Netflix,16+,6.7/10,62/100,"Witnesses recount the shocking 1996 hostage crisis in Lima, Peru, where rebels held scores of high-level figures captive at an ambassador's residence."
Rhythm + Flow,2019,,1 Season,Netflix,18+,7.7/10,62/100,"In this music competition show, judges Tip “T.I.” Harris, Cardi B and Chance the Rapper hit the streets to find the next rap superstar."
Blue Exorcist,2011,,2 Seasons,Netflix,16+,7.4/10,62/100,"Determined to throw off the curse of being Satan's illegitimate son, Rin enters the True Cross Academy to become an exorcist, just like his mentor."
L.A.'s Finest,2019,,,Outra,16+,6.0/10,62/100,
Vagabond,2019,,1 Season,Netflix,,8.3/10,62/100,"When his nephew dies in a plane crash, stunt man Cha Dal-geon resolves to find out what happened, with the help of covert operative Go Hae-ri."
Thomas & Friends,1984,,,Outra,all,6.6/10,62/100,
The Protector,2018,,4 Seasons,Netflix,18+,6.7/10,61/100,"Discovering his ties to a secret ancient order, a young man living in modern Istanbul embarks on a quest to save the city from an immortal enemy."
Unsolved Mysteries,1987,,2 Seasons,Netflix,7+,8.2/10,61/100,"Real cases of perplexing disappearances, shocking murders and paranormal encounters fuel this gripping revival of the iconic documentary series."
Too Hot to Handle,2020,,2 Seasons,Netflix,18+,4.6/10,61/100,"On the shores of paradise, gorgeous singles meet and mingle. But there’s a twist. To win a $100,000 grand prize, they’ll have to give up sex."
AJ and the Queen,2020,,1 Season,Netflix,,7.5/10,61/100,"While traveling across the country in a run-down RV, drag queen Ruby Red discovers an unlikely sidekick in AJ: a tough-talking 10-year-old stowaway."
Are You The One?,2014,,,Outra,16+,6.5/10,61/100,
Little Things,2016,,3 Seasons,Netflix,18+,8.3/10,61/100,"A cohabiting couple in their 20s navigate the ups and downs of work, modern-day relationships and finding themselves in contemporary Mumbai."
Still Game,2002,,9 Seasons,Netflix,16+,8.8/10,61/100,"Scottish pensioners Jack and Victor make the most of their golden years, getting themselves into all kinds of scrapes in their Glasgow suburb."
Transformers: Prime,2010,,,Outra,7+,7.9/10,61/100,
Henry Danger,2014,,3 Seasons,Netflix,all,5.7/10,61/100,"A new part-time job forces Henry Hart to balance two lives, one as a typical teenager and the other as secret superhero sidekick Kid Danger."
Tidying Up with Marie Kondo,2019,,1 Season,Netflix,7+,6.6/10,61/100,"In a series of inspiring home makeovers, world-renowned tidying expert Marie Kondo helps clients clear out the clutter – and choose joy."
Nightflyers,2018,,1 Season,Netflix,18+,5.9/10,61/100,"With humankind's future at stake, a group of scientists and a powerful telepath venture into the void aboard a spaceship full of secrets."
Love 101,2020,,1 Season,Netflix,18+,7.5/10,61/100,"While trying to make their teacher fall for a basketball coach, four misfits and a model student find friendship, love and the courage to be themselves."
Car Masters: Rust to Riches,2018,,3 Seasons,Netflix,7+,8.8/10,61/100,"The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks."
WHAT / IF,2019,,1 Season,Netflix,18+,6.3/10,61/100,"Desperate to secure funding for her med tech startup, an idealistic scientist and her husband strike an outrageous deal with a mysterious investor."
Total Drama Island,2007,,,Outra,7+,7.2/10,61/100,
Roman Empire,2016,,,Outra,16+,7.0/10,61/100,
Beyond Evil,2021,,1 Season,Netflix,,8.1/10,61/100,"As a killing resembling a cold case resurfaces in a small town, the chase for the truth falls on two policemen who each harbor secrets of their own."
Deadwind,2018,,2 Seasons,Netflix,18+,7.2/10,61/100,"Just months after a tragic loss, detective Sofia Karppi investigates the murder of a woman with ties to a Helsinki construction company."
People Just Do Nothing,2014,,5 Seasons,Netflix,18+,8.5/10,61/100,Spinning old-school beats is just another day at the office for the naive DJs of a pirate radio station who juggle family life with their passion.
B: The Beginning,2018,,2 Seasons,Netflix,18+,7.2/10,61/100,"Genius investigator Keith Flick rejoins the royal police force just as serial killer ""B"" emerges. Mysterious youth Koku may be an ally, or a target."
Somebody Feed Phil,2018,,4 Seasons,Netflix,16+,8.2/10,61/100,"""Everybody Loves Raymond"" creator Phil Rosenthal travels the globe to take in the local cuisine and culture of Bangkok, Lisbon, Mexico City and more."
Girl from Nowhere,2018,,2 Seasons,Netflix,18+,7.7/10,61/100,"A mysterious, clever girl named Nanno transfers to different schools, exposing the lies and misdeeds of the students and faculty at every turn."
Cocaine Coast,2018,,1 Season,Netflix,18+,7.9/10,61/100,"In 1980s Galicia, Spain, a young fisherman becomes a prosperous cocaine smuggler by providing Latin American suppliers with a European entry point."
The Liberator,2020,,1 Season,Netflix,7+,7.6/10,61/100,"A diverse, deeply brave crew of ragtag soldiers become some of the most heroic fighters of the European invasion in World War II. Based on true events."
The Irregular at Magic High School,2014,,1 Season,Netflix,16+,7.2/10,61/100,"Siblings Tatsuya and Miyuki enroll at Magic High School, where Miyuki's honors status comes between her and her underachieving older brother."
Norm Macdonald Has a Show,2018,,1 Season,Netflix,,8.7/10,61/100,Comedian Norm Macdonald hosts his celebrity friends for casual conversations that range from silly to serious and take many unexpected turns.
Hap and Leonard,2016,,3 Seasons,Netflix,18+,7.7/10,61/100,"In late-1980s Texas, two best friends get involved in darkly comic misadventures by hiring themselves out to shady clients for illicit ends."
Dark Desire,2020,,1 Season,Netflix,18+,6.5/10,61/100,"Married Alma spends a fateful weekend away from home that ignites passion, ends in tragedy and leads her to question the truth about those close to her."
Seis Manos,2019,,1 Season,Netflix,18+,7.2/10,61/100,"Orphans raised by a martial arts master are plunged into a mystery involving demonic powers, drug cartels, ancient rituals and blood sacrifice."
Control Z,2020,,2 Seasons,Netflix,18+,6.9/10,61/100,"When a hacker begins releasing students' secrets to the entire high school, the socially isolated but observant Sofía works to uncover his/her identity."
Kengan Ashura,2019,,,Outra,,8.0/10,61/100,
Black Money Love,2014,,1 Season,Netflix,,7.3/10,61/100,"After a cop's fiancée and a jewelry designer's father are found dead together, the two bereaved ones face a perilous aftermath of a theft gone wrong."
Dave Chappelle,2017,,1 Season,Netflix,,8.7/10,61/100,"Comedy icon Dave Chappelle makes his triumphant return to the screen with a pair of blistering, fresh stand-up specials."
The House of Flowers,2018,,3 Seasons,Netflix,18+,7.6/10,61/100,"In this dark comedy, a wealthy matriarch tries to maintain her family's facade of perfection after her husband's mistress exposes their dirty secrets."
Fatma,2021,,1 Season,Netflix,,7.5/10,61/100,"Reeling from tragedy, a nondescript house cleaner embarks on a murderous streak as she searches for her missing husband and reckons with old wounds."
America's Next Top Model,2003,,2 Seasons,Netflix,7+,5.5/10,61/100,Supermodel Tyra Banks created and executive-produced this reality series that chronicles the transformation of young women into potential supermodels.
Tribes of Europa,2021,,1 Season,Netflix,18+,6.8/10,61/100,"In post-apocalyptic Europe, amid wars among microstates, three siblings fight for survival as a greater threat looms over the continent."
Grand Army,2020,,1 Season,Netflix,,7.6/10,61/100,"Five students at the largest public high school in Brooklyn take on a chaotic world as they fight to succeed, survive, break free and seize the future."
Somos.,2021,,1 Season,Netflix,18+,7.2/10,61/100,"The lives of the people of Allende, a Mexican border town, are overtaken by a powerful cartel's operations, leading to tragedy. Inspired by true events."
The Great Heist,2020,,1 Season,Netflix,18+,7.3/10,61/100,"In 1994, a team of thieves plans an ambitious heist to steal millions from Colombia's Bank of the Republic. Inspired by true events."
The One,2021,,1 Season,Netflix,18+,6.6/10,61/100,"Love — and lies — spiral when a DNA researcher helps discover a way to find the perfect partner, and creates a bold new matchmaking service."
Carmen Sandiego,2019,,4 Seasons,Netflix,7+,7.9/10,61/100,"A master thief who uses her skills for good, Carmen Sandiego travels the world foiling V.I.L.E.'s evil plans – with help from her savvy sidekicks."
The Chef Show,2019,,4 Seasons,Netflix,18+,8.2/10,61/100,"Writer, director and food enthusiast Jon Favreau and chef Roy Choi explore food in and out of the kitchen with accomplished chefs and celebrity friends."
Traitors,2019,,1 Season,Netflix,18+,6.6/10,61/100,"As World War II ends, a young English woman agrees to help an enigmatic American agent root out Russian infiltration of the British government."
Wet Hot American Summer: Ten Years Later,2017,,1 Season,Netflix,16+,6.9/10,61/100,"A decade after their wild summer as junior counselors, the gang reunites for a weekend of bonding, hanky-panky and hair-raising adventures."
The Neighbor,2019,,2 Seasons,Netflix,18+,6.6/10,60/100,Self-centered Javier's life gets a bit messy when he unexpectedly becomes a superhero – and his recent ex is tasked with uncovering his identity.
Salt Fat Acid Heat,2018,,1 Season,Netflix,,7.7/10,60/100,"Chef and food writer Samin Nosrat travels the world to explore four basic keys to wonderful cooking, serving up feasts and helpful tips along the way."
Billy on the Street,2011,,4 Seasons,Netflix,16+,7.8/10,60/100,"Comedian Billy Eichner sprints through New York with celebrities to stun pedestrians with unapologetic, unfiltered and unique pop culture questions."
October Faction,2020,,1 Season,Netflix,18+,6.2/10,60/100,"The family drama gets downright monstrous as parents Fred and Deloris hunt the supernatural, and twins Viv and Geoff harbor their own strange secrets."
Start-Up,2020,,1 Season,Netflix,16+,8.1/10,60/100,Young entrepreneurs aspiring to launch virtual dreams into reality compete for success and love in the cutthroat world of Korea's high-tech industry.
Night on Earth,2020,,1 Season,Netflix,7+,8.2/10,60/100,"This nature series’ new technology lifts night’s veil to reveal the hidden lives of the world’s creatures, from lions on the hunt to bats on the wing."
DOTA: Dragon's Blood,2021,,1 Season,Netflix,18+,8.0/10,60/100,A conflicted yet courageous Dragon Knight must use the power of the dragon within to stop a deadly demon in this epic fantasy based on the online game.
The Break,2016,,2 Seasons,Netflix,18+,7.6/10,60/100,"A police detective mourning a painful loss moves back to his peaceful hometown, only to be drawn into a murder case that dredges up dark secrets."
The Letter for the King,2020,,1 Season,Netflix,7+,5.9/10,60/100,"A young knight in training contends with ancient prophecies, magical powers and fickle companions as he sets out on an epic quest to save his kingdom."
Osmosis,2019,,1 Season,Netflix,16+,5.9/10,60/100,"In near-future Paris, two brilliant siblings unveil a high-tech implant designed to pair up soul mates. But the beta test yields unwelcome surprises."
Another Life,2019,,1 Season,Netflix,18+,5.0/10,60/100,"After a massive alien artifact lands on Earth, Niko Breckinridge leads an interstellar mission to track down its source and make first contact."
Ju-On: Origins,2020,,,Outra,18+,6.1/10,60/100,
Diagnosis,2019,,1 Season,Netflix,18+,7.7/10,60/100,Dr. Lisa Sanders crowdsources diagnoses for mysterious and rare medical conditions in a documentary series based on her New York Times Magazine column.
Zone Blanche,2017,,,Outra,,7.5/10,60/100,
The Eddy,2020,,1 Season,Netflix,18+,7.2/10,60/100,"The owner of a Paris jazz club gets tangled up with dangerous criminals as he fights to protect his business, his band and his teenage daughter."
Magi,2012,,,Outra,16+,7.8/10,60/100,
Elite Short Stories: Guzmán Caye Rebe,2021,,1 Season,Netflix,18+,7.5/10,60/100,"Rebe hosts an intimate house warming party for her friends, but the situation takes a dramatic turn with the help of drugs and unexpected visitors."
Memories of the Alhambra,2018,,1 Season,Netflix,16+,7.8/10,60/100,"While looking for the cryptic creator of an innovative augmented-reality game, an investment firm executive meets a woman who runs a hostel in Spain."
Pacific Rim: The Black,2021,,1 Season,Netflix,16+,7.1/10,60/100,"After Kaiju ravage Australia, two siblings pilot a Jaeger to search for their parents, encountering new creatures, seedy characters and chance allies."
V Wars,2019,,1 Season,Netflix,18+,6.1/10,60/100,A fast-spreading disease that turns victims into blood-sucking fiends pits two best friends against each other in a fight for humanity's future.
The Windsors,2016,,3 Seasons,Netflix,18+,7.1/10,60/100,The all-too-public trials and tribulations of England's royal family are reimagined as an over-the-top comedic soap opera.
The Sons of Sam: A Descent Into Darkness,2021,,,Outra,18+,7.0/10,60/100,
Sunderland 'Til I Die,2018,,2 Seasons,Netflix,18+,8.1/10,60/100,This docuseries follows English soccer club Sunderland through the 2017-18 season as they try to bounce back after relegation from the Premier League.
Rebellion,2016,,2 Seasons,Netflix,16+,7.2/10,60/100,"As World War I rages, three women and their families in Dublin choose sides in the violent Easter Rising revolt against British rule."
The Pharmacist,2020,,1 Season,Netflix,,7.7/10,60/100,"After his son's tragic death, a Louisiana pharmacist goes to extremes to expose the rampant corruption behind the opioid addiction crisis."
The A List,2018,,2 Seasons,Netflix,7+,5.5/10,60/100,"Romance, rivalry and radical mystery collide as a group of teens attend a remote island sleepaway camp in this suspenseful, supernatural drama."
Tales of the City,2019,,1 Season,Netflix,16+,7.4/10,60/100,"Returning to San Francisco after a long absence, Mary Ann Singleton reunites with the community of characters at 28 Barbary Lane."
Disjointed,2017,,2 Seasons,Netflix,18+,6.8/10,60/100,Pot activist Ruth Whitefeather Feldman runs a medical marijuana dispensary while encouraging her loyal patients to chill out and enjoy the high life.
Medical Police,2020,,1 Season,Netflix,,6.0/10,60/100,Doctors Owen Maestro and Lola Spratt leave Childrens Hospital and join a secret arm of the CDC to investigate and destroy a deadly global virus.
Gentefied,2020,,1 Season,Netflix,16+,7.4/10,60/100,The Morales cousins scramble to save their grandfather's taco shop — and pursue their own dreams — as gentrification shakes up their LA neighborhood.
Wanderlust,2018,,1 Season,Netflix,16+,7.1/10,60/100,"Unable to revive their fading sex life after many years of marriage, a therapist and her husband decide to start dating other people."
Murder Among the Mormons,2021,,1 Season,Netflix,16+,7.0/10,60/100,High-stakes exploits turn deadly — and shake a global church to its core — in this extraordinary true crime story.
Home for Christmas,2019,,2 Seasons,Netflix,18+,7.7/10,60/100,"Tired of the constant comments on her relationship status, perpetually single Johanne starts a 24-day hunt for a boyfriend to bring home for Christmas."
Paradise PD,2018,,3 Seasons,Netflix,18+,6.9/10,60/100,"An eager young rookie joins the ragtag small-town police force led by his dad as they bumble, squabble and snort their way through a big drug case."
The Bachelorette,2003,,1 Season,Netflix,16+,3.4/10,60/100,Beloved “Bachelor” contestant Ali Fedotowsky embarks on her own search for happily ever after and navigates the thrills and spills of reality TV romance.
Cold Case Files,1999,,1 Season,Netflix,18+,8.1/10,60/100,Masterful detectives utilize forensic science and criminal psychology to re-examine long-standing cases.
Little Witch Academia,2017,,2 Seasons,Netflix,7+,7.9/10,60/100,"Akko enrolls at the Luna Nova Witchcraft Academy. She's not the best student, but her bright attitude is the key to her and her friends' success."
El marginal,2016,,,Outra,18+,8.2/10,60/100,
