"Titulo","Ano","Duracao","Plataforma","Classificacao Indicativa","IMDb","Rotten Tomatoes","Enredo"
"Body Cam",2020,"96.0","Outra","18+","5.3/10","57/100","When a routine traffic stop results in the unexplained, grisly death of her colleague, a cop (Mary J. Blige) realizes footage of the incident will play for her eyes only. As the attacks mount, she races to understand the supernatural force behind them."
"Above the Shadows",2019,"111.0","Outra",,"6.0/10","57/100",
"Where Hope Grows",2014,"95.0","Outra","13+","6.6/10","57/100","A baseball player whose professional career was cut short due to personal problems is suddenly awakened and invigorated by a young-man with Down syndrome who works at the local grocery store. Calvin Campbell is a retired baseball player and a father to Katie Campbell,an independent teenager. One day when he goes shopping for alcohol at the local market he meets an employee of the market. He talks to produce and is shocked when produce gives him a hug.."
"Lady in a Cage",1964,"94.0","Outra",,"6.8/10","57/100","Recuperating from a broken hip sustained four months ago, wealthy Cornelia Hilyard had a portable elevator installed temporarily in the home she shares with her thirty year old single son, Malcolm Hilyard. Shortly after Malcolm leaves for the extended July 4th weekend during a summer heatwave, Cornelia gets trapped in the elevator when a short circuit occurs, the front grated elevator car hovering approximately ten feet above her living room foyer, she only having access to those few items she brought into the elevator with her: beyond those items on her person, a book, a transistor radio, her cane and a vase containing a single flower. All her efforts to get out using the elevator's emergency functions only attract the wrong elements as two associated but disparate groups break into her house initially with the sole purpose of robbing her of everything, they able to do so partly in being able to conduct their business out of her view. In the process, none of the five people involved seem to care about her whatsoever. Things change when one of the five, Randall Simpson O'Connell, the leader of the group of younger thugs, he who has spent most of his formative years in a reformatory, decides that in addition he wants to commit murder, including of Cornelia. If Cornelia is able to survive in the short term, the nature of the situation may further change due to something that Malcolm had left for her just before he left."
"Buddy Games",2021,"90.0","Outra","18+","4.8/10","57/100",
"Gundala",2019,"123.0","Outra","16+","6.2/10","57/100","Sancaka has lived on the streets since his parents left him. Living a hard life, Sancaka survives by thinking about his own safety. When the condition of the city gets worse and injustice rages throughout the country, Sancaka must decide whether he continues to live to look after himself or rise to become hero for the oppressed."
"XX",2017,"80.0","Outra","18+","4.6/10","57/100","XX is a new horror anthology with a gender twist - all segments will be helmed by female directors and will star female leads. The directors have been given free creative rein within budget and time constraints, but all of the segments themselves will involve the horror genre."
"Rebuilding Paradise",2020,"90.0","Outra","13+","7.0/10","57/100",
"Let the Sunshine In",2017,"94.0","Outra",,"6.0/10","57/100",
"Above and Beyond",2015,"60.0","Outra",,"7.7/10","57/100",
"Swimming with Men",2018,"96.0","Outra","Unrated","6.4/10","57/100",
"Book of Blood",2009,"100.0","Outra","18+","5.3/10","57/100",
"Valley Girl",2020,"99.0","Outra","13+","5.5/10","57/100",
"The Feels",2017,"90.0","Outra","18+","5.1/10","57/100","When a group of friends gather in a woodsy cabin to celebrate the marriage of Andi and Lu, it starts off like any other similar gathering. Distant friends catch up, drinks flow freely, and spirits soar. It's all well and good and fun until, mid-drunken-mumble, it comes out that Lu's never had an orgasm. That news comes as a wee bit of a shock to Andi and things take a drastic shift. Over the course of the weekend, they reflect on trust, honesty, desire, and the various tricky things that so often trip up relationships."
"My Little Pony: The Princess Promenade",2006,"50.0","Outra","all","7.5/10","57/100","As the Ponyville spring parade draws near, Wysteria's elaborate plans for the floral festivities are threatened by the awakening of a 1,000-year-old dragon and the coming crowning of a new princess. With her gardens in bloom and her friends all preparing for the upcoming spring parade, Wysteria is devastated when she inadvertently awakens Spike the dragon from his millennium-long slumber. Legend has it that when a dragon is awakened, a new princess is to be crowned -- but who could it be? As the inhabitants of Ponyville eagerly await the announcement of the new crowned head, they are about to learn important lessons in both what it takes to be a princess, and what it means to be a true friend."
"Someone Marry Barry",2014,"87.0","Outra",,"5.8/10","57/100",
"IMAX: Galapagos 3D",1999,"39.0","Outra",,"7.1/10","57/100","Part adventure, part scientific expedition, part personal quest, and part fantastic voyage, this unprecedented non-fiction film takes audiences on a journey with marine biologist Dr. Carole Baldwin, from the Smithsonian Institutions's Museum of Natural History, on her first trips to the famed Galapagos Islands."
"Rogue",2020,"105.0","Outra","18+","4.0/10","57/100","Megan Fox (Transformers franchise) tackles a thrilling new role as a battle-hardened mercenary in this explosive action saga. As team leader O'Hara, she leads a lively squad of soldiers on a daring mission: rescue hostages from their captors in remote Africa. But as the mission goes awry and the team is stranded, O'Hara's squad must face a bloody, brutal encounter with a gang of rebels - and the horde of ravenous, enraged lions they encounter."
"The Dream Is Alive",1985,"37.0","Outra",,"7.6/10","57/100","Shot in space by the astronauts themselves, the film provides a close-up look at several space shuttle missions, including the Challenger's 1984 mission to repair a damaged satellite."
"Hideaway",1995,"106.0","Outra","18+","5.3/10","57/100","Hatch Harrison had a traffic accident with his car. At first the doctors said he was dead but then they succeeded in bringing him back to life after two hours. In no time, Hatch starts to have strange sensations and discovers that he is now united with a mad killer who had entered his mind during his death."
"Sword Art Online: Extra Edition",2014,"101.0","Outra","16+","6.3/10","57/100",
"Damsel",2018,"113.0","Outra","18+","5.5/10","57/100","As Samuel Alabaster (Robert Pattinson) travels across the American Frontier, on a journey to marry the love he has always looked for, Penelope (Mia Wasikowski), life becomes more and more dangerous. Accompanied by his miniature horse, Butterscotch, and drunkard companion, Parson Henry (David Zellner), the lines between hero, villain and damsel in distress become more and more blurred in this comic reinvention of the classic western movie."
"I Declare War",2013,"94.0","Outra","18+","6.0/10","57/100","Armed with nothing more than twigs, their imaginations and a simple set of rules, a group of 12-year-olds engaged in a lively game of Capture the Flag in the neighborhood woods start dangerously blurring the lines between make-believe and reality. Paint-filled balloons = Grenades. Trees = Control towers. Sticks = Sub-machine guns. The youthful innocence of the game gradually takes on a different tone as the quest for victory pushes the boundaries of friendship. The would-be warriors get a searing glimpse of humanity's dark side as their combat scenario takes them beyond the rules of the game and into an adventure where fantasy combat clashes with the real world."
"Shelley",2016,"92.0","Outra",,"5.2/10","56/100","Louise and Kasper, a Danish-Norwegian couple, live in an isolated villa in the middle of the forest away from modern life, technology and even electricity. Louise's biggest dream is to become a mother but she is unable to have children. She finally decides, out of desperation, to seal a pact with her Romanian maid, Elena. Elena accepts to bear Louise's child as a surrogate mother in exchange for a large amount of money. The life growing inside of her is taking shape too fast, affecting the lives of everyone like an evil force. Paranoia and horror set in around the inevitable birth..."
"Astro Kid",2019,"89.0","Outra","7+","6.6/10","56/100",
"Superpower Dogs",2019,"47.0","Outra","all","7.3/10","56/100","Join an immersive IMAX adventure to experience the life-saving superpowers and extraordinary bravery of some of the world's most amazing dogs. In this inspiring true story, our best friends are also real-life superheroes. Journey around the globe to meet remarkable dogs who save lives and discover the powerful bond they share with their human partners. Follow 'Halo', a rookie puppy training to join one of the most elite disaster response teams in America. Meet 'Henry', an avalanche rescue expert in the Canadian Rockies, 'Reef', a Newfoundland lifeguard with the Italian coastguard, 'Ricochet', a Californian surf legend helping people with special needs, and the Bloodhound brothers, 'Tipper and Tony', who are leading the fight to save endangered species in Africa. As we discover the incredible abilities of dogs and the astonishing science behind their superpowers, we'll never look at our best friends the same way again."
"Diane",2019,"95.0","Outra",,"6.7/10","56/100",
"Gimme the Loot",2012,"79.0","Outra",,"6.6/10","56/100","When a rival gang buffs Malcolm and Sofia's latest graffiti masterpiece with a replica of the NY Mets home-run apple, they're determined to get spectacular revenge - by tagging the real Mets' apple. Over the course of a whirlwind two-day heat wave, these tough teens from the Bronx must hustle, scramble, and steal to execute the scheme that will make them the most famous writers in New York."
"The First Monday in May",2016,"90.0","Outra","13+","7.2/10","56/100","A behind the scenes look at the preparations for the 2015 art exhibit, China: Through the Looking Glass held at New York's Metropolitan Museum of Art, commonly referred to as the Met Gala, which has become one of the hottest tickets in town."
"The Skull",1965,"83.0","Outra",,"6.3/10","56/100","A collector of esoterica, Dr. Maitland, buys an unusual skull from his ordinary source of artifacts. The skull is what remains of marquis De Sade. Much too soon he discovers how the skull affects him: by turning him into a frenzied killer."
"The World of Kanako",2014,"118.0","Outra",,"6.5/10","56/100","Kanako, a beautiful girl and one of the best students at school, goes missing with all the belongings left behind in her room. Her father Akikazu is now asked by his ex-wife to look for their daughter. He starts a desperate search of Kanako using any means, in the hope of getting his ""ideal"" family back in place despite the fact that the very reason of the family breakup was because of his problematic personality and behaviors. Following tracks of her past and present and talking to her ""friends,"" he starts to get to know his daughter whom he never knew or didn't even attempt to know. When Akikazu is led to one clue, he realizes the world Kanako was facing beyond his imagination... Can the father find his daughter, and get back his perfect happy family he has dreamed of after all these years?"
"Ben 10: Secret of the Omnitrix",2007,"71.0","Outra","7+","7.2/10","56/100",
"Judy & Punch",2019,"105.0","Outra",,"6.1/10","56/100","Seaside (nowhere near the sea), puppeteers Judy and Punch are trying to resurrect their marionette show on the brink of an anarchic mob rule. When Punch accidentally kills their baby during a drinking binge, his wife, Judy, having suffered a violent beating, teams up with a band of outcast heretics to enact revenge on Punch and the entire town."
"Frankenstein and the Monster from Hell",1974,"95.0","Outra","18+","6.3/10","56/100","The last of the Hammer Frankenstein films, this one deals with Baron Victor Frankenstein hiding out in an insane asylum so that he may continue his experiments in reanimating the dead along with fellow inmate Dr. Simon Helder, who has been institutionalized for conducting such experiments."
"You Instead",2011,"80.0","Outra","18+","6.7/10","56/100",
"Digging Up the Marrow",2015,"89.0","Outra",,"5.8/10","56/100",
"Book of Shadows: Blair Witch 2",2000,"90.0","Outra","18+","4.0/10","56/100","To cash in on all of the ""real world"" hype of the events in the first film, a man from Burkitsville, Maryland opens a ""Blair Witch Hunt"" tour, which shows patrons various locations from the original film. A bunch of college students decide to take the tour, and wind up in Rustin Parr's house. There, they decide to camp for the evening, but in the morning, they realize they didn't sleep and they don't remember anything that happened the previous night. From there, they go back to town, and discover that something...or someone has come with them."
"Knuckleball!",2012,"93.0","Outra",,"7.1/10","56/100",
"Sordid Lives",2000,"111.0","Outra","18+","6.8/10","56/100","We become intimate with the ""Sordid Lives"" of a family in a small Texas town preparing for their mother's funeral. Among the characters are the grandson trying to find his identity in West Hollywood, the son who has spent the past 23 years dressed as Tammy Wynette, the sister and her best friend who live in delightfully kitschy homes, and the two daughters--one strait-laced, the other quite a bit looser."
"Monsters and Men",2018,"96.0","Outra","18+","5.9/10","56/100",
"Sea of Shadows",2019,"104.0","Outra","13+","7.3/10","56/100","The vaquita, the world's smallest whale, is near extinction as its habitat is destroyed by Mexican cartels and Chinese mafia, who harvest the swim bladder of the totoaba fish, the ""cocaine of the sea."" Environmental activists, Mexican navy and undercover investigators are fighting back against this illegal multi-million-dollar business."
"Bad Reputation",2018,"93.0","Outra","18+","7.3/10","56/100",
"Carnage Park",2016,"90.0","Outra",,"4.8/10","56/100","Part crime caper gone awry, part survival horror film, this 1970s set thriller depicts a harrowing fight for survival after a pair of wannabe crooks botch a bank heist and flee into the desert, where they inexplicably stumble upon Carnage Park, a remote stretch of wilderness occupied by a psychotic ex-military sniper."
"Sex Ed",2014,"30.0","Outra",,"5.6/10","56/100","When Eddie lands his first teaching gig at an inner city middle school, he quickly finds that his highly pubescent pupils are receiving no form of sexual education. Eddie isn't exactly equipped to teach them - he's not exactly experienced romantically. And he's falling in love with the older sister of one of his students. But Eddie goes off lesson plan anyway, delving into the world of menstrual cycles and sexually transmitted infections, and in doing so, incurs the wrath of the local reverend."
"Skin: A History of Nudity in the Movies",2020,"130.0","Outra",,"6.7/10","56/100","The definitive documentary on the history of nudity in feature films from the early silent days to the present, studying the changes in morality that led to the use of nudity in films while emphasizing the political, sociological and artistic changes that shaped that history. Skin will also study the gender inequality in presenting nude images in motion pictures and will follow the revolution that has created nude gender equality in feature films today. It culminates in a discussion of ""what are nude scenes like in the age of the #METOO movement"" as well as a look at CGI nudity that seems a large part of motion pictures' future. The documentary will compare the use of nudity to further storylines vs. simple exploitation and discuss how nudity is used in movies today with the explosion of must-see television and its influence on the film medium."
"Getaway",2013,"123.0","Outra","13+","4.4/10","56/100","Former race car driver Brent Magna is pitted against the clock as he commandeers a custom Shelby Super Snake Mustang, taking it and its unwitting owner on a high-speed adventure at the command of a mysterious villain on a race against time to save the life of his kidnapped wife."
"A Nice Girl Like You",2020,"94.0","Outra","18+","5.1/10","56/100","""A Nice Girl Like You"" is a romantic-comedy film starring award-winning actresses Lucy Hale (Pretty Little Liars, Truth or Dare), Mindy Cohn (Consequences, The Facts Of Life), Jackie Cruz (Orange Is The New Black), Australian actor Leonidas Gulaptis (The Answer, Gala and Godfrey), and Adhir Kalyan (Rules of Engagement ). Based on the popular memoir by Ayn Carrillo-Gailey, the story follows Lucy Neal (Hale), a violinist who is thrown for a loop when she is accused of being too inhibited by her ex-boyfriend. In an effort to prove him wrong, Lucy creates a rather wild to-do list that sends her on a whirlwind and surprising journey of self-discovery, friendship, and new love."
"Vault",2019,"99.0","Outra","18+","5.5/10","56/100",
"Obey Giant",2017,"92.0","Outra",,"7.1/10","56/100",
"Still Waiting...",2009,"88.0","Outra","18+","4.9/10","56/100","On the last night of the fiscal quarter, Dennis, Shenanigan's manager, will be promoted to district manager if they have a $9000 day. To motivate the crew, he tells them the restaurant will close if they don't meet this goal. His competition is next door: Ta-Ta's, a bar with scantily clad waitresses, managed by the newly self-confident Calvin. At Ta-Ta's, it's Allison's first day; she's nervous. At Shenanigan's, Mason, a cook, is trying his best to be cool, without success. As the shift wears on, each employee faces his worst fears, and Dennis tries to learn how to attract women. Next door, Calvin and Allison make self discoveries. It all ends at the post-shift party."
"Nina",2016,"92.0","Outra",,"5.4/10","56/100","Nina had to put her hopes of becoming a doctor on hold and interrupt her medical studies for 10 years, to raise her cancer-stricken daughter Lily. But now Lily has been cured and 39-year-old Nina takes her life and career back in hand by accepting a job as a nurse at Madeleine Brès Hospital. There's never a moment's rest in the Internal Medicine Ward, where Nina wrestles with the disdain of her superiors. But she's passionate about her work and refuses to kowtow to senior staff."
"Turbulence",1997,"100.0","Outra","18+","4.9/10","56/100","Ryan Weaver romances beautiful women before he kills them. Ryan is arrested, convicted, and is part of a Christmas Eve transfer of prisoners on a transcontinental 747 commercial flight. Other airlines at JFK may have holiday passengers waiting on stand-by, but this jumbo jet takes off with a lot of empty seats. Ryan and another prisoner overpower and kill their guards. The few civilian passengers are herded into a ""pantry"" on the plane and are not seen again until the end of the movie. Ryan eliminates the other prisoners and all the crew members except Teri Halloran. The remainder of the movie follows a ""cat-and-mouse"" game between Ryan and Teri on the 747."
"Wakko's Wish",1999,"80.0","Outra","all","7.2/10","56/100",
"Just Charlie",2017,"97.0","Outra",,"6.9/10","56/100","Football star Charlie has the world at his feet. With a top club desperate to sign him, his future is seemingly mapped out. But the teenager only sees a nightmare. Trapped in the body of a boy, Charlie is torn between wanting to live up to her father's expectations and shedding this ill fitting skin. Charlie's next move will tear the family apart and threaten everything they hold dear."
"Dark Web: Cicada 3301",2021,"104.0","Outra","18+","4.9/10","56/100",
"Trevor Noah: You Laugh But It's True",2011,,"Outra",,"7.2/10","56/100",
"Caddyshack II",1988,"98.0","Outra","13+","3.8/10","56/100","Jack Hartounian, a self made man is trying to get into Bushwood County Club because his daughter's being asked by her snooty friends. Jack applies but a few things ruins his application, one that he's extremely boorish and because he is building low cost housing in an affluent neighborhood. Jack then turns to Ty Webb who owns the majority share of the club, Jack buys Ty's shares and then takes over the club and makes some changes which the members don't like. That's when the club members attack Jack by stopping his housing project. Eventually they decide to settle it on the golf course but the club president decides to take contingencies."
"Gemini",2017,"117.0","Outra","18+","5.4/10","55/100","A heinous crime tests the complex relationship between a tenacious personal assistant and her Hollywood starlet boss. As the assistant travels across Los Angeles to unravel the mystery, she must stay one step ahead of a determined policeman and confront her own understanding of friendship, truth and celebrity."
"Robert the Bruce",2019,"124.0","Outra",,"5.4/10","55/100","After assisting William Wallace in the freedom struggle depicted in ""Braveheart"", Robert the Bruce has crowned himself King of Free Scotland. But the English are determined to regain their lost territory. Battle after battle, Robert is defeated, and the Scottish nobility turns their backs on him. From nothing, with freedom as the only driving force, the king rises once again to fight for his country."
"Breaking Fast",2020,"92.0","Outra",,"6.4/10","55/100",
"Detective Dee: The Four Heavenly Kings",2018,"132.0","Outra","18+","6.4/10","55/100",
"Amira & Sam",2014,"90.0","Outra",,"6.1/10","55/100",
"Amulet",2020,"99.0","Outra","18+","4.8/10","55/100",
"Out Stealing Horses",2019,"123.0","Outra",,"6.6/10","55/100","November 1999: 67-year-old Trond (Stellan Skarsgård), lives in self-imposed isolation and looks forward to welcoming in the new millennium alone. As winter arrives he meets one of his few neighbors, Lars (Bjørn Floberg), and realizes he knew him back in the summer of 1948. 1948 - the year Trond turned 15. The summer Trond grew up. OUT STEALING HORSES is based on the bestselling novel by Norwegian author Per Petterson, which received several important international awards and was included in The New York Times '10 Best Books of 2007 (Fiction)'. Petterson's novels have been translated into more than 50 languages."
"Space Station 3D",2002,"47.0","Outra",,"7.4/10","55/100","The first 3D live-action film to be shot in space. Using advanced 3D-technology, the film depicts the greatest engineering happening since a man landed on the Moon in 1969. Amongst these is the on-orbit assembly of the International Space Station as it travels 220 miles above the Earth at the speed of 17,500 mph. The film also has included sequences that portray the force of a rocket launch, as well as a look into the depths of space. You will experience life in zero gravity, and accompany the astronauts on a space walk. The film was an immense success in theaters in 2002, and is the highest grossing film ever not release in more than 100 theaters at the same time."
"Liz in September",2014,"100.0","Outra",,"5.9/10","55/100","This story follows Eva, a traveler who experiences some car trouble and ends up spending some time with a group of women in a hotel outside of town. These women gladly accept Eva into their home and help her to feel at home. Quickly Eva discovers the secret that unifies these seven interesting women she's met. As relationships are being formed, an even deeper relationship forms between Eva and Liz. As they go on different adventures, Liz's secret that she's kept from everyone is revealed and it takes a toll on everyone involved. . It is worthy to note that there are not many male characters in this film, which leaves room for these women to show their own strengths, capabilities and who they truly are as vibrant women living their lives."
"Lowlife",2017,"120.0","Outra",,"6.2/10","55/100","Tarantino-esque gruesome yet darkly comedic crime thriller drama set in a poverty and crime ridden L.A. neighborhood. Split in three intermingling segments titled ""Monsters,"" ""Fiends,"" and ""Thugs"", the story follows several desperate seedy characters who all have ties to Teddy, a local mass murdering crime boss and white slaver who kidnaps and murders illegal immigrants for their organs or enslaves them for his prostitution/rape ring. El Monstruo is a failed luchador who never breaks character, suffers from violent blackouts and works as Teddy's top henchman while trying to ignore the various horrifying aspects of the job. He's expecting a baby with Kaylee, a woman given as child to Teddy by her mother Crystal, and hopes that his child will fill the shoes of El Monstruo's legendary and heroic luchador father, something that El Monstruo failed to do and is ridden with guild over it. Keith is Teddy's accountant whose committed a crime in his younger days but never served time since his best friend Randy took the blame and went to prison for him. Eleven years later, Randy is finally leaving prison, so Keith picks him up only to discover that during his time inside Randy has become a paradoxically different person. He has a giant swastika tattooed on his face, yet he acts and talks like a black rapper from Compton. The stories begin to come together when Crystal, who runs the motel where illegal immigrants hide only to be apprehended by corrupt ICE agents and delivered to Teddy for enslavement or execution, needs a kidney donor for her dying husband, Kaylee's biological father. Teddy suggests that Kaylee might be willing to do it, but when Kaylee gets kidnapped, desperate Crystal, suspecting Teddy's involvement, picks up a shotgun and goes to find her daughter with or without El Monstruo's help."
"Kindergarten Cop 2",2016,"100.0","Outra","13+","4.5/10","55/100","Hot on the trail of the Eastern-European criminal kingpin, Zogu, unexpectedly, the old-school F.B.I. Agent, Reed, finds himself at a well-organised elementary school. Knowing that Zogu is after a tiny flash drive containing highly sensitive information, Reed has to pose as a substitute kindergarten teacher to stand a chance of retrieving the precious item that is hidden somewhere in the classroom of a mysteriously deceased instructor. Now, like a fish out of water, Reed needs to take control of the class without blowing his cover; however, this is easier said than done. Can tough officer Reed gain the classroom's confidence before it's too late?"
"Donnybrook",2019,"101.0","Outra","18+","5.4/10","55/100",
"The Devil's Doorway",2018,"76.0","Outra","Unrated","5.3/10","55/100",
"An Acceptable Loss",2019,"102.0","Outra","18+","5.4/10","55/100","Former top U.S. security adviser Elizabeth ""Libby"" Lamm (Sumpter) is threatened by associates from her dark past including Rachel Burke (Curtis), a steely, commanding politician with an unwavering knack for achieving her goals. Colluding with Rachel is Adrian, an unyielding, patriotic chief of staff. Martin (Tavassoli) harbors another type of obsession with Libby in this story of betrayal and regret."
"Take Every Wave: The Life of Laird Hamilton",2018,"118.0","Outra","7+","7.5/10","55/100","This is the remarkable story of an American icon who changed the sport of big wave surfing forever. Transcending the surf genre, this in-depth portrait of a hard-charging athlete explores the fear, courage and ambition that push a man to greatness--and the cost that comes with it."
"Notturno",2020,"100.0","Outra","18+","6.2/10","55/100",
"Pokémon the Movie: Hoopa and the Clash of Ages",2015,"79.0","Outra","7+","6.0/10","55/100","When Ash, Pikachu, and their friends visit a desert city by the sea, they meet the Mythical Pokémon Hoopa, who has the ability to summon things-including people and Pokémon-through its magic ring. After a scary incident, they learn a story about a brave hero who stopped the rampage of a terrifying Pokémon long ago. Now, the threat that has been bottled up for years is in danger of breaking loose again! Can Ash help his new friend overcome the darkness within...or will a dangerous secret erupt into a clash of legends?"
"The Female Brain",2018,"98.0","Outra","16+","5.8/10","55/100","What makes a woman swipe right for Mr. Wrong and left for Mr. Right? This is a look at the real-life science behind our (often regrettable) romantic impulses. Writer-director Whitney Cummings (2 Broke Girls) stars as no-nonsense neuroscientist Julia, whose research into the biochemistry of the female brain is illustrated by three couples: newlyweds Zoe (Cecily Strong) and Greg (Blake Griffin), whose career troubles seep into their relationship; Lisa (Sofia Vergara) and Steven (Deon Cole), who are looking to spice up their stuck-in-a-rut marriage; and Lexi (Lucy Punch) who can't help trying to change her boyfriend Adam (James Marsden). Meanwhile, the straight-laced Julia's own synapses start to fire when a handsome new subject (Toby Kebbell) joins her study."
"Fun in Acapulco",1963,"97.0","Outra","7+","5.9/10","55/100","Mike works on a boat in Acapulco. When the bratty daughter of the boat owner gets him fired, Mike must find new work. Little boy Rauol helps him get a job as a lifeguard and singer at a local hotel. Clashes abound when Mike runs into the rival lifeguard, who is the champion diver of Mexico. He is angry at Mike for taking some of his hours, and stealing his woman."
"Pledge",2019,"124.0","Outra","Unrated","5.4/10","55/100",
"Exit Plan",2019,"115.0","Outra",,"5.1/10","55/100",
"Sheep & Wolves",2016,"85.0","Outra","all","5.8/10","55/100","In a magical faraway land, in a picturesque little village nestled among green meadows and rolling hills, lives a flock of carefree sheep. But their pastoral and stress-free life is interrupted when a pack of wolves sets up camp in the nearby ravine. In accordance with ancient traditions, the retiring pack leader Magra announces that his future successor must prove his right to lead by vanquishing his rivals. When the powerful and blood-thirsty Ragear steps forward, the only wolf brave enough to challenge him is Grey, the pack's favorite, but a hopeless goof ball. To become a leader and win back Bianca's love, Grey goes off into the woods, where he discovers a camp of Gypsy rabbits. The fortune-teller rabbit Mami gives him a magical ""transmutation potion."" Grey drinks the potion and goes back to the wolves' den, but finds out upon arrival that he has been transformed into... a ram!"
"Centigrade",2020,"89.0","Outra","Unrated","4.3/10","55/100",
"A Nasty Piece of Work",2019,"77.0","Outra",,"6.7/10","55/100",
"Legion of Brothers",2017,"79.0","Outra","16+","5.9/10","55/100","Immediately after the 9/11 attacks, fewer than 100 US Troops were sent on a secret mission to overthrow the Taliban. What happens next is equal parts war-origin story and cautionary tale, illuminating the impact of 15 years of constant combat."
"K: Missing Kings",2014,"73.0","Outra","16+","7.1/10","55/100","Since the Island Academy Incident, silver clansmen Kuroh Yatogami and Neko have been searching for their master, Yashiro Isana, the Silver King. Their search having turned up fruitless, the two begin to give up hope, until they encounter Anna Kushina and Rikio Kamamoto, two members of the red clan HOMRA being chased by someone."
"Our Family Wedding",2010,"103.0","Outra","13+","5.1/10","55/100","""Our marriage, their wedding."" It's lesson number one for any newly engaged couple, and Lucia and Marcus are no exception. In Our Family Wedding, they learn the hard way that the path to saying ""I do"" can be rife with familial strife. When they return from college and too suddenly announce their marriage plans, they soon discover that their fathers - two highly competitive over-the-top egos - can wreak a major amount of havoc on their special day. With insults flying and tempers running high, it's anyone's guess if the alpha dads will survive to make it down the aisle in one piece. Lucia's mother is busy planning the wedding of ""her"" dreams and the only levelheaded one in the bunch is Angela, the groom's father's best friend and lawyer, who manages to keep her cool when the madness reaches a crescendo. With only weeks to plan their wedding, Lucia and Marcus soon discover the true meaning of love and find there is truth to the saying - that when you marry someone, you marry their entire family."
"Wander Darkly",2020,"97.0","Outra","18+","5.8/10","55/100","Despite going through the motions of milestone events similar to couples at their stage, such as buying a house together, and having their first child - a daughter named Ellie - unmarried Matteo and Adrienne could probably not admit to either him/herself or to the other that he/she is truly happy with their life together. The emerging problems by these milestones only highlight existing problems, such as the issue of exes, and the intense dislike and mistrust between her mother Patty and him. A traumatic incident leads to both going on a metaphysical journey of their lives together - their future based on how their life has been so far, and a revisiting of their past and what key moments actually meant in knowing what they know now. Each goes into this journey with a different mindset due to their different beliefs of their current state of being. The questions become whether they will emerge from the journey at all, and if they do whether the journey itself will lead them to a path of true happiness as a couple/family."
"Wounds",2019,"95.0","Outra","18+","4.0/10","55/100",
"Hooking Up",2020,"104.0","Outra","18+","5.5/10","55/100","Bailey (Sam Richardson) and Darla (Brittany Snow) embark upon a misguided and mutually deceitful form of therapy, one in which they must drive across the country re-enacting Darla's colorful history as a sex addict. As their true motivations for the road trip come to light, the unlikely pair force one another to confront their issues, discovering that there might actually be more to love than just sex."
"Wolves",2016,"91.0","Outra","18+","5.7/10","55/100","An 18-year-old basketball star who is being recruited by Cornell University seems to have it all figured out: captain of his team, a good student, has a longtime girlfriend and some good friends. But at home he's struggling with his troubled father who has a gambling addiction. His mother tries to keep the family afloat but does so with great emotional and financial sacrifice."
"Nico, 1988",2017,"93.0","Outra","18+","6.7/10","55/100",
"Star Kid",1997,"101.0","Outra","7+","5.3/10","55/100","Shy seventh-grader Spencer Griffith's life changes when a meteor falls into a local junkyard and he finds a Cybersuit - an exoskeleton with AI from another galaxy. Spencer puts on the Cybersuit and becomes a different kind of person."
"Follow Me",2020,"91.0","Outra","18+","5.4/10","55/100","A social media personality travels with his friends to Moscow to capture new content for his successful VLOG. Always pushing the limits and catering to a growing audience, they enter a cold world of mystery, excess, and danger. When the lines between real life and social media are blurred, the group must fight to escape, and survive."
"American Gun",2005,"95.0","Outra","18+","6.1/10","55/100","A series of interwoven story lines brings to light how the proliferation of guns in America dramatically influence and shape every day lives. A gun shop owner, an ace student, a single mother, and a school principal are among those profoundly affected."
"The Tomorrow Man",2019,"94.0","Outra","13+","5.7/10","54/100","Two people in a small American town - one who spends his life preparing for a disaster which may never come. and the other spending time shopping for things she may never use - will try to find love whilst not trying not to get lost in each other's stuff."
"Almost Human",2013,"60.0","Outra","16+","4.7/10","54/100","Is friendship between a human and an android even possible? When a police detective John Kennex gets a new partner, an android of a DRN model or Dorian, he never thought it was possible to become a friend with a human-like walking machine. Could he be wrong?"
"Premature",2020,"93.0","Outra","Unrated","6.4/10","54/100","Set against the backdrop of a changing Harlem landscape, when seventeen year old Ayanna meets handsome and mysterious outsider Isaiah, her entire world is turned upside down on her path towards self-discovery as she travails the rigorous terrain of young love the summer before she leaves for college."
"Wild Nights with Emily",2018,"84.0","Outra","13+","6.2/10","54/100","In the mid 19th century, Emily Dickinson was writing prolifically and in a passionate romantic relationship with her sister-in-law, yet she is still popularly believed to be a fridge recluse. Informed by Dickenson's private letters, this film is a light-hearted, humorous and bold take on the American poet who found herself facing male literacy gatekeepers too confused by her genius to take her work seriously, and instead attracts the attention of an ambitious female editor, named Mabel, who also sees Emily as a convenient cover for her bizarre love triangle."
"Let's Be Evil",2016,"82.0","Outra",,"4.2/10","54/100","Three chaperones are hired to supervise an advanced learning program for gifted children, who wear Augmented Reality Glasses to assist in their education. Contained within a secure, underground facility, events quickly spiral out of control."
"R.L. Stine's Monsterville: The Cabinet of Souls",2015,"86.0","Outra","7+","5.7/10","54/100",
