"Titulo","Ano","Duracao","Plataforma","Classificacao Indicativa","IMDb","Rotten Tomatoes","Enredo"
"The Big Lebowski",1998,"117.0","Outra","18+","8.1/10","87/100","When ""the dude"" Lebowski is mistaken for a millionaire Lebowski, two thugs urinate on his rug to coerce him into paying a debt he knows nothing about. While attempting to gain recompense for the ruined rug from his wealthy counterpart, he accepts a one-time job with high pay-off. He enlists the help of his bowling buddy, Walter, a gun-toting Jewish-convert with anger issues. Deception leads to more trouble, and it soon seems that everyone from porn empire tycoons to nihilists want something from The Dude."
"Pad Man",2018,"140.0","Netflix","13+","7.9/10","87/100","Despite public humiliation and resistance, an entrepreneur markets a hygienic, low-cost sanitary pad that even India's poorest women can afford."
"American Factory",2019,"110.0","Netflix","13+","7.4/10","86/100","In this documentary, hopes soar when a Chinese company reopens a shuttered factory in Ohio. But a culture clash threatens to shatter an American dream."
"Bird Box",2018,"124.0","Netflix","18+","6.6/10","86/100","Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety."
"The Pianist",2002,"150.0","Netflix","18+","8.5/10","86/100","Famed Polish pianist Wladyslaw Szpilman struggles to survive the onslaught of Nazi tyranny during World War II in this drama based on his memoirs."
"3 Idiots",2009,"170.0","Netflix","13+","8.4/10","86/100","While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system."
"The Distinguished Citizen",2016,"118.0","Netflix",,"7.5/10","86/100","Worried he’s lost his artistic edge, a wealthy expat novelist returns to his backwater hometown in Argentina, where he’s regarded as a local hero."
"A Shaun the Sheep Movie: Farmageddon",2019,"86.0","Netflix","all","6.8/10","86/100","Shaun and the flock race to help an adorable alien find her way home after her ship crash-lands near Mossy Bottom Farm and sparks a UFO frenzy."
"A Clockwork Orange",1971,"136.0","Netflix","18+","8.3/10","86/100","In this dark satire from director Stanley Kubrick, a young, vicious sociopath in a dystopian England undergoes an experimental rehabilitation therapy."
"What Happened to Monday",2017,"123.0","Netflix","18+","6.9/10","86/100","In a future with a strict one-child policy, six septuplets must avoid government detection while searching for their missing sister."
"Anthony Jeselnik: Thoughts and Prayers",2015,"59.0","Netflix","18+","7.8/10","86/100","There's no subject too dark as the comedian skewers taboos and riffs on national tragedies before pulling back the curtain on his provocative style."
"The White Helmets",2016,"41.0","Netflix","16+","7.5/10","86/100","As daily airstrikes pound civilian targets in Syria, a group of indomitable first responders risk their lives to rescue victims from the rubble."
"Invader ZIM: Enter the Florpus",2019,"71.0","Outra","7+","7.5/10","86/100",
"Happy as Lazzaro",2018,"128.0","Netflix","13+","7.5/10","85/100","Purehearted teen Lazzaro is content living as a sharecropper in rural Italy, but an unlikely friendship with the marquise's son will change his world."
"Chasing Coral",2017,"93.0","Netflix",,"8.1/10","85/100","Divers, scientists and photographers around the world mount an epic underwater campaign to document the disappearance of coral reefs."
"Kal Ho Naa Ho",2003,"186.0","Netflix","all","7.9/10","85/100","An uptight MBA student falls for the charismatic new neighbor who charms her troubled family – but he has a secret that forces him to push her away."
"Pan's Labyrinth",2006,"118.0","Netflix","18+","8.2/10","85/100","Young Ofelia meets a mythical faun who claims she is destined to become princess of the Underworld. But first she must carry out three perilous tasks."
"Team Foxcatcher",2016,"90.0","Netflix","16+","7.3/10","85/100","With never-before seen home video, this film recounts the paranoid downward spiral of John E. du Pont and the murder of Olympic wrestler Dave Schultz."
"The Meyerowitz Stories (New and Selected)",2017,"112.0","Netflix","18+","6.9/10","85/100","Grudges and rivalries abound as three adult siblings converge in New York to contend with their prickly artist father – and his fading legacy."
"Casino Royale",2006,"144.0","Netflix","13+","8.0/10","85/100","Daniel Craig makes his debut as the newly minted agent 007, who's pitted against an infamous financier of global terrorism – at the poker table."
"The Hateful Eight",2015,"168.0","Netflix","18+","7.8/10","85/100","Years after the Civil War, a bounty hunter and his captive are waylaid by a Wyoming blizzard and hole up in a way station with six dicey strangers."
"Rush",2013,"123.0","Netflix","18+","8.1/10","84/100","In the 1970s, a rivalry propels race car drivers Niki Lauda and James Hunt to fame and glory — until a horrible accident threatens to end it all."
"Zombieland",2009,"88.0","Netflix","18+","7.6/10","84/100","Looking to survive in a world taken over by zombies, a dorky college student teams with an urban roughneck and a pair of grifter sisters."
"Eurovision Song Contest: The Story of Fire Saga",2020,"123.0","Netflix","13+","6.5/10","84/100","Two small-town singers chase their pop star dreams at a global music competition, where high stakes, scheming rivals and onstage mishaps test their bond."
"Kapoor & Sons",2016,"132.0","Netflix","13+","7.7/10","84/100","Returning home to visit their ill grandfather, two estranged brothers must confront their unresolved rivalry while their parents’ marriage frays."
"The Perfection",2018,"90.0","Netflix","18+","6.2/10","84/100","In this twisty horror-thriller, a once-promising music prodigy reconnects with her former mentors, only to find them taken with a talented new pupil."
"Dave Chappelle: Sticks & Stones",2019,"65.0","Netflix","18+","8.5/10","84/100","Dave Chappelle takes on gun culture, the opioid crisis and the tidal wave of celebrity scandals in a defiant stand-up special filmed in Atlanta."
"There Will Be Blood",2007,"158.0","Netflix","18+","8.2/10","84/100","An ambitious prospector strikes it rich and turns a simple village into a boomtown, stoking the ire of a charismatic young preacher."
"Million Dollar Baby",2004,"132.0","Netflix","13+","8.1/10","84/100","When a cantankerous trainer mentors a persistent amateur boxer determined to go pro, deep-seated emotions become their strongest opponents."
"The Social Network",2010,"120.0","Netflix","13+","7.7/10","84/100","Director David Fincher's biographical drama chronicles the meteoric rise of Facebook CEO Mark Zuckerberg from Harvard sophomore to Internet superstar."
"The Christmas Chronicles",2018,"104.0","Netflix","7+","7.0/10","84/100","After accidentally crashing Santa's sleigh, a brother and sister pull an all-nighter to save Christmas with a savvy, straight-talking St. Nick."
"Monty Python and the Holy Grail",1975,"91.0","Netflix","7+","8.2/10","84/100","The Monty Python comedy clan skewers King Arthur and his Knights of the Round Table as they quest far and wide for the Holy Grail."
"The Pixar Story",2007,"88.0","Netflix","all","7.8/10","84/100","Go behind the scenes at Pixar Animation Studios with this Emmy-nominated documentary tracing the creation and history of the groundbreaking company."
"Ma Rainey's Black Bottom",2020,"94.0","Netflix","18+","7.0/10","84/100","Tensions and temperatures rise at a Chicago music studio in 1927 when fiery, fearless blues singer Ma Rainey joins her band for a recording session."
"Calibre",2018,"101.0","Netflix","18+","6.8/10","84/100","Two lifelong friends on a hunting trip in Scotland find their nerves – and their morals – ruthlessly tested after a harrowing turn of events."
"Silver Linings Playbook",2012,"122.0","Netflix","18+","7.7/10","84/100","A man with bipolar disorder moves home with his parents and makes a connection with a spirited widow, which helps both of them heal in unique ways."
"Over the Moon",2020,"95.0","Netflix","7+","6.4/10","84/100","Fueled by memories of her mother, resourceful Fei Fei builds a rocket to the moon on a mission to prove the existence of a legendary moon goddess."
"What Happened, Miss Simone?",2015,"101.0","Netflix",,"7.6/10","84/100","Using never-before-heard recordings, rare archival footage and her best-known songs, this is the story of legendary singer and activist Nina Simone."
"Nightcrawler",2014,"117.0","Netflix","18+","7.8/10","84/100","A young hustler finds success trolling the streets of Los Angeles to film disasters and death. But the darkness he captures starts to take hold of him."
1922,2017,"102.0","Netflix","18+","6.3/10","84/100","A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella."
"Paddleton",2019,"89.0","Netflix","18+","7.2/10","84/100","After he's diagnosed with terminal cancer, middle-aged Michael asks his neighbor friend Andy to help him end his life before the disease does."
"Cargo",2017,"105.0","Netflix","18+","6.3/10","84/100","Aboard a spaceship where souls of the deceased are readied for reincarnation, a lone crew member’s rigid existence is disrupted by a spry new assistant."
"Rain Man",1988,"133.0","Netflix","18+","8.0/10","83/100","Motivated by money, a selfish workaholic seeking a piece of his late father's inheritance takes a life-changing road trip with his estranged brother."
"Cuba and the Cameraman",2017,"113.0","Netflix",,"8.3/10","83/100","Emmy-winning filmmaker Jon Alpert chronicles the fortunes of three Cuban families over the course of four tumultuous decades in the nation's history."
"The Ritual",2017,"94.0","Netflix","18+","6.3/10","83/100","Four friends with a long-standing – but strained – connection take a hiking trip into the Swedish wilderness, from which they may never return."
"The Hater",2020,"135.0","Netflix","18+","7.1/10","83/100","A duplicitous young man finds success in the dark world of social media smear tactics — but his virtual vitriol soon has violent real-life consequences."
"The Edge of Democracy",2019,"121.0","Netflix","16+","7.2/10","83/100","Political documentary and personal memoir collide in this exploration into the complex truth behind the unraveling of two Brazilian presidencies."
"22-Jul",2018,"143.0","Netflix","18+","6.8/10","83/100","After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story."
"Adam Sandler: 100% Fresh",2018,"73.0","Outra","18+","7.6/10","83/100",
"Guru",2007,"114.0","Netflix","13+","7.7/10","83/100","Ambitious Gurukant Desai ignores his father's advice and leaves his village to find success in Turkey."
"A Twelve-Year Night",2018,"122.0","Outra","18+","7.5/10","83/100","1973. Uruguay is governed by a military dictatorship. One autumn night, three Tupamaro prisoners are taken from their jail cells in a secret military operation. The order is precise: ""As we can't kill them, let's drive them mad."" The three men will remain in solitary confinement for twelve years. Among them is Pepe Mujica - later to become president of Uruguay."
"Dumplin'",2018,"110.0","Netflix","13+","6.6/10","83/100","To prove a point about measuring up and fitting in, Texas teen Willowdean Dickson enters a local pageant run by her ex-beauty queen mom."
"The Conjuring",2013,"112.0","Netflix","18+","7.5/10","83/100","When a family starts experiencing supernatural terrors after moving into a Rhode Island farmhouse, they seek the help of a pair of noted demonologists."
"Marriage Story",2019,"137.0","Netflix","18+","7.9/10","83/100","Academy Award-nominated filmmaker Noah Baumbach directs this incisive and compassionate look at a marriage coming apart and a family staying together."
"My Octopus Teacher",2020,"85.0","Netflix","all","8.1/10","83/100","A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world."
"About Time",2013,"123.0","Netflix","13+","7.8/10","83/100","When Tim learns that the men in his family can travel in time and change their own lives, he decides to go back and win the woman of his dreams."
"Hey Arnold! The Jungle Movie",2017,"81.0","Netflix","7+","7.6/10","83/100","When Arnold and his crew win a trip to San Lorenzo, their adventure in the wild forces them to take the same risky path as Arnold's missing parents."
"Kung Fu Panda",2008,"92.0","Netflix","7+","7.6/10","83/100","When a powerful villain comes after peace in his valley, a lazy panda rises to the challenge to realize his destiny and become a kung fu warrior."
"Superbad",2007,"113.0","Netflix","18+","7.6/10","83/100","Hoping to have sex before college, high school seniors Seth and Evan try to score booze for a huge party, leading to a series of wild misadventures."
"The Invisible Guest",2016,"106.0","Netflix","18+","8.1/10","83/100","After waking next to his now-dead lover in a hotel room, a young businessman hires a prominent lawyer to figure out how he ended up a murder suspect."
"Chinatown",1974,"130.0","Outra","18+","8.2/10","82/100","In 1937 Los Angeles, private investigator Jake 'J.J.' Gittes specializes in cheating-spouse cases. His current target is Hollis Mulwray, high-profile chief engineer for the Los Angeles Department of Water and Power, whose wife suspects him of infidelity. In following Mulwray, Gittes witnesses some usual business dealings, such as a public meeting for construction of a new dam to create additional water supply for Los Angeles, as fresh water is vital to the growing community during the chronic drought; Mulwray opposes the dam. Eventually Gittes sees Mulwray meeting with an unknown young woman who isn't his wife. Once news of the supposed tryst between Mulwray and this woman hits the media, additional information comes to light that makes Gittes believe that Mulwray is being framed for something and that he himself is being set up. In his investigation of the issue behind Mulwray's framing and his own setup, Gittes is assisted by Mulwray's wife Evelyn, but he thinks she isn't being forthright with him. The further he gets into the investigation, the more secrets he uncovers about the Mulwrays' professional and personal dealings, including Mulwray's former business-partnership with Evelyn's father, Noah Cross. The identity of the unknown woman may be the key to uncovering the whole story."
"Mystic River",2003,"138.0","Netflix","18+","7.9/10","82/100","Haunted by a monstrous crime, three childhood friends in Boston cross paths again decades later in connection with a murder investigation."
"The Theory of Everything",2014,"123.0","Netflix","13+","7.7/10","82/100","As his esteem grows in the world of physics, Stephen Hawking's body is ravaged by ALS, forcing his increasing dependence on his devoted wife, Jane."
"Springsteen On Broadway",2018,"153.0","Outra",,"8.5/10","82/100",
"The Life Ahead",2020,"94.0","Netflix","13+","6.8/10","82/100","A Holocaust survivor running a daycare business forms an unlikely friendship with a bitter street kid when she takes him in after he robs her."
"The Terminal",2004,"128.0","Netflix","13+","7.4/10","82/100","Social pressure, a complicated past and a clash of values beset the life of a businessman and his family."
"Scott Pilgrim vs. the World",2010,"112.0","Netflix","13+","7.5/10","82/100","Dreamy delivery girl Ramona captures Scott Pilgrim's heart, but he must vanquish all seven of her evil exes in martial arts battles to win her love."
"Being Elmo: A Puppeteer's Journey",2011,"80.0","Netflix","7+","7.6/10","82/100","Whoopi Goldberg narrates Elmo creator Kevin Clash's remarkable journey from a working-class Baltimore neighborhood to Jim Henson's ""Sesame Street."""
"Life of Brian",1979,"94.0","Outra","18+","8.1/10","82/100",
"The Resistance Banker",2018,"123.0","Netflix","18+","6.9/10","82/100","Risking his family and future, a banker in occupied Amsterdam slows the Nazi war machine by creating an underground bank to fund the resistance."
"How to Train Your Dragon 2",2014,"102.0","Netflix","7+","7.8/10","82/100","Hiccup, Toothless and a mysterious dragon rider join forces to protect the island of Berk from a power-hungry warrior with a dragon army of his own."
"The Endless Trench",2019,"147.0","Netflix","18+","7.2/10","82/100","Fearing retribution, a Republican from the Spanish Civil War hides in his home for more than 30 years with the help of his wife. Based on true events."
"Even the Rain",2010,"103.0","Netflix",,"7.4/10","82/100","While making a film about the incursion of Christopher Columbus in the New World, a director finds the Bolivian locals protesting modern exploitation."
