Titulo,Ano,Duracao,Temporadas,Plataforma,Classificacao Indicativa,IMDb,Rotten Tomatoes,Enredo
Pretend It's a City,2021,203 min,1 Seasons,Outra,16+,8.1/10,71/100,
Masters of the Universe: Revelation,2021,25 min,1 Season,Netflix,7+,4.9/10,71/100,"After a calamitous battle fractures Eternia, Teela and an unlikely alliance must prevent the end of the Universe in this sequel to the ’80s classic."
iCarly,2007,30 min,6 Seasons,Outra,all,6.7/10,71/100,"Carly hosts her own home-grown web show, iCarly. She lives with her twenty-something brother/guardian Spencer and produces her webcasts from a makeshift third-floor loft studio. Grappling with adolescence, she never aimed to gain fame as a rising star/underground celebrity to kids. As events unfold in the pilot, it all happens by accident when a teacher puts her in charge of the school talent show. She and her sassy best bud Sam turn the audition process into a show, which Carly's tech savvy smitten friend Freddie tapes - including their hilarious banter and great chemistry - and posts on the Web without telling the girls. The on-line audience clamors for more, and a pop phenomenon blooms, with Carly and sidekick Sam's regular webcasts ultimately featuring everything from comedy sketches and talent contests to interviews, recipes, and problem-solving."
Who Killed Sara?,2021,,2 Seasons,Netflix,18+,6.4/10,71/100,"Hell-bent on exacting revenge and proving he was framed for his sister's murder, Álex sets out to unearth much more than the crime's real culprit."
Sword Art Online,2012,24 min,3 Seasons,Netflix,18+,7.6/10,71/100,A video game whiz helps create a new technology that enables players to guide their online avatars with their own bodies – but a dark twist emerges.
Paranormal,2020,45 min,1 Season,Netflix,7+,8.5/10,71/100,"After a skeptical hematologist is plunged into a series of inexplicable events, he unwillingly becomes the go-to-guy for paranormal investigations."
Frontier,2016,60 min,3 Seasons,Netflix,18+,7.2/10,71/100,"In 18th-century North America, ruthless trappers and entrepreneurs fight to wrest control of the fur trade from the mighty Hudson's Bay Company."
The Politician,2019,42 min,2 Seasons,Netflix,16+,7.5/10,71/100,Rich kid Payton has always known he's going to be president. But first he has to navigate the most treacherous political landscape of all: high school.
Raising Dion,2019,50 min,1 Season,Netflix,7+,7.2/10,71/100,A widowed mom sets out to solve the mystery surrounding her young son's emerging superpowers while keeping his extraordinary gifts under wraps.
Food Wars! Shokugeki no Soma,2015,24 min,5 Seasons,Outra,18+,8.2/10,71/100,"Meet Souma, he is the son of the owner of a small eatery in Japan. For his age, Souma is a very talented person able to easily come up with new dishes; sometimes these dishes are some really weird combinations of the ingredients no one would use. After some time, the owner of the Souma's eatery, Souma's father, leaves the family business to work with his friend. Souma's restaurant is on the verge of closing. To improve his cooking skills and to save the restaurant, Souma begins studying in Engetsu Teahouse Culinary Academy, which is regarded as Japan's top culinary academy. The problem is that only a few are able to graduate from it, these few are world's best gourmet of culinary. Will Souma manage to graduate from the academy?"
Crash Landing on You,2019,70 min,1 Season,Netflix,16+,8.7/10,71/100,"A paragliding mishap drops a South Korean heiress in North Korea – and into the life of an army officer, who decides he will help her hide."
Seven Seconds,2018,60 min,1 Season,Netflix,18+,7.7/10,71/100,The death of a 15-year-old African American boy in Jersey City sets off a police cover-up and a search for the truth.
The Great British Bake Off,2010,,,Outra,7+,8.5/10,70/100,
Wizards: Tales of Arcadia,2020,233 min,1 Season,Netflix,7+,8.2/10,70/100,"Merlin’s apprentice joins Arcadia’s heroes on a time-bending adventure in Camelot, where conflict is brewing between the human, troll and magical worlds."
Conversations with a Killer: The Ted Bundy Tapes,2019,236 min,1 Season,Netflix,18+,7.8/10,70/100,"Present-day interviews, archival footage and audio recordings made on death row form a searing portrait of notorious serial killer Ted Bundy."
Lenox Hill,2020,,1 Season,Netflix,15+,8.7/10,70/100,Four doctors at New York's storied Lenox Hill Hospital balance their personal lives and their dedication to their patients in this documentary series.
Fate: The Winx Saga,2021,,1 Season,Netflix,18+,6.9/10,70/100,"Determined to master their enchanting powers, a group of teens navigate rivalry, romance and supernatural studies at Alfea, a magical boarding school."
The Circle,2020,48 min,3 Seasons,Netflix,18+,7.3/10,70/100,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000."
Cheer,2020,355 min,1 Season,Netflix,16+,8.1/10,70/100,This gripping docuseries follows the ups and downs of Navarro College's competitive cheer squad as they work to win a coveted national title.
Hemlock Grove,2013,46 min,3 Seasons,Netflix,18+,7.1/10,70/100,"Secrets are just a part of daily life in the small Pennsylvania town of Hemlock Grove, where the darkest evils hide in plain sight."
Transformers: War for Cybertron: Siege,2020,,,Outra,16+,7.4/10,70/100,
Explained,2018,18 min,3 Seasons,Netflix,16+,8.0/10,70/100,"This enlightening series from Vox digs into a wide range of topics such as the rise of cryptocurrency, why diets fail, and the wild world of K-pop."
Messiah,2020,43 min,1 Season,Netflix,18+,7.6/10,70/100,A wary CIA officer investigates a charismatic man who sparks a spiritual movement and stirs political unrest. A fictional story not based on true events.
Sky Rojo,2021,31 min,2 Seasons,Netflix,18+,6.5/10,70/100,A fatal turn of events at a brothel sends three women haunted by their pasts on a wild run from their pimp and his henchmen.
Bonding,2019,107 min,2 Seasons,Outra,18+,7.2/10,70/100,
I'm Sorry,2017,30 min,2 Seasons,Netflix,7+,8.0/10,70/100,"Life is a series of awkward situations for comedy writer and mom Andrea, thanks to plenty of neuroses and a knack for sticking her foot in her mouth."
Katla,2021,,1 Season,Netflix,18+,7.1/10,70/100,The catastrophic eruption of subglacial volcano Katla turns a nearby community’s world upside down as mysteries begin to emerge from the ice.
It's Okay to Not Be Okay,2020,80 min,1 Season,Netflix,16+,8.8/10,70/100,An extraordinary road to emotional healing opens up for an antisocial children's book writer and a selfless psych ward caretaker when they cross paths.
Forensic Files,1996,30 min,9 Seasons,Netflix,16+,8.8/10,70/100,Detectives and crime lab technicians use the latest and most fascinating procedures to solve crimes in this documentary-style show.
Workin' Moms,2017,30 min,5 Seasons,Netflix,18+,7.6/10,70/100,"Maternity leave is over and it's time for these four moms to return to work while navigating kids, bosses, love and life in modern-day Toronto."
The Toys That Made Us,2017,46 min,3 Seasons,Netflix,16+,8.1/10,70/100,The minds behind history's most iconic toy franchises discuss the rise – and sometimes fall – of their billion-dollar creations.
The Devil Next Door,2019,229 min,1 Season,Netflix,18+,7.6/10,70/100,"A Cleveland grandfather is brought to trial in Israel, accused of being the infamous Nazi death camp guard known as Ivan the Terrible."
Kipo and the Age of Wonderbeasts,2020,24 min,3 Seasons,Netflix,7+,8.4/10,70/100,"Making her way through a world of mutant animals, a sheltered yet scrappy girl learns how to survive – and get home – with help from her ragtag crew."
"Roswell, New Mexico",2019,45 min,2 Seasons,Netflix,16+,6.2/10,70/100,"After 10 years, a woman returns to her sleepy tourist-occupied hometown and discovers her high-school crush is also an unusual foreigner."
Night Stalker: The Hunt For a Serial Killer,2021,,,Outra,18+,7.5/10,70/100,
Glitch,2015,45 min,3 Seasons,Netflix,16+,7.3/10,70/100,A police officer and a doctor face an emotionally charged mystery when seven local residents inexplicably return from the dead in peak physical form.
Great Pretender,2020,23 min,2 Seasons,Netflix,18+,8.0/10,69/100,"Supposedly Japan's greatest swindler, Makoto Edamura gets more than he bargained for when he tries to con Laurent Thierry, a real world-class crook."
InuYasha,2000,,2 Seasons,Netflix,16+,7.9/10,69/100,"Yanked down a well, schoolgirl Kagome Higurashi emerges in feudal Japan, where she must reassemble a sacred jewel while eluding half-demon Inuyasha."
In the Dark,2019,42 min,4 Seasons,Outra,16+,7.5/10,69/100,
GHOUL,2018,,1 Season,Netflix,18+,7.1/10,69/100,"When a new prisoner at a military detention center exhibits eerie behavior, a young interrogator’s search for the truth becomes a battle for survival."
Nailed It!,2018,33 min,6 Seasons,Outra,7+,7.4/10,69/100,
Voltron: Legendary Defender,2016,23 min,8 Seasons,Netflix,7+,8.1/10,69/100,"In an all-new series, five unlikely heroes and their flying robot lions unite to form the megapowerful Voltron and defend the universe from evil."
Trollhunters: Tales of Arcadia,2016,23 min,3 Seasons,Outra,7+,8.4/10,69/100,"Jim Lake Jr. is an ordinary kid with a busy Mom and a yearning to have more adventure in his life. As it happens, Jim gets more than he wished when he finds a magic amulet under a bridge.calling to him. With that discovery, Jim finds himself recruited as the next. and first human, Troll Hunter, the champion of the Troll world. Together with his friend, Toby Domzalski, Jim discovers the world of Troll Market, where he begins his training under the tutelage of his new mentors, Blinky and AAARRRGGHH!!!, who also tell him of the threat of the Gumm Gumms, who scheme to release their leader, Gunmar the Black, to conquer both the Troll and Human worlds. In the struggle ahead, Jim and his friends will discover enemies and friends where they least expect them as their shadow war draws ever greater danger and complications into all their lives."
Sweet Magnolias,2020,,1 Season,Netflix,16+,7.4/10,69/100,"Lifelong friends Maddie, Helen and Dana Sue lift each other up as they juggle relationships, family and careers in the small, Southern town of Serenity."
Medici: Masters of Florence,2016,60 min,3 Seasons,Netflix,7+,7.9/10,69/100,"After his father's murder, banking heir Cosimo Medici battles opponents of his artistic, economic and political visions for 15th-century Florence."
The Innocent,2021,467 min,1 Season,Netflix,,7.9/10,69/100,"An accidental killing leads a man down a dark hole of intrigue and murder. Just as he finds love and freedom, one phone call brings back the nightmare."
Aggretsuko,2018,15 min,3 Seasons,Netflix,16+,8.1/10,69/100,"Frustrated with her thankless office job, Retsuko the Red Panda copes with her daily struggles by belting out death metal karaoke after work."
Jurassic World: Camp Cretaceous,2020,24 min,3 Seasons,Outra,7+,7.5/10,69/100,
Rake,2010,60 min,5 Seasons,Netflix,16+,8.5/10,69/100,"While Cleaver Greene is a brilliant and driven attorney, he's also an ex-druggie, a current gambling addict and loathed by many of his colleagues."
